V1,V2,set
136.0,10084.0,12
0.0,3151.0,12
0.0,3151.0,12
136.0,10084.0,12
3.0,3845.0,12
2.0,3437.0,12
15.0,5518.0,12
5.0,4128.0,12
6.0,4462.0,12
41.0,7533.0,12
47.0,7890.0,12
30.0,6765.0,12
14.0,5318.0,12
16.0,5614.0,12
29.0,6573.0,12
89.0,9278.0,12
86.0,9220.0,12
50.0,7982.0,12
126.0,9986.0,12
11.0,5231.0,12
40.0,7416.0,12
134.0,10052.0,12
99.0,9484.0,12
101.0,9545.0,12
43.0,7644.0,12
55.0,8185.0,12
65.0,8567.0,12
32.0,6901.0,12
38.0,7222.0,12
60.0,8309.0,12
123.0,9981.0,12
128.0,10035.0,12
97.0,9451.0,12
10.0,5030.0,12
114.0,9813.0,12
70.0,8758.0,12
80.0,9035.0,12
23.0,6224.0,12
26.0,6383.0,12
58.0,8260.0,12
51.0,8002.0,12
22.0,6119.0,12
21.0,5930.0,12
44.0,7675.0,12
72.0,8801.0,12
13.0,5257.0,12
7.0,4585.0,12
8.0,4773.0,12
31.0,6845.0,12
79.0,8961.0,12
73.0,8845.0,12
116.0,9829.0,12
45.0,7782.0,12
112.0,9782.0,12
122.0,9924.0,12
27.0,6412.0,12
53.0,8070.0,12
57.0,8220.0,12
25.0,6271.0,12
20.0,5810.0,12
82.0,9057.0,12
1.0,3266.0,12
2.0,3437.0,12
4.0,3961.0,12
5.0,4128.0,12
33.0,7016.0,12
75.0,8883.0,12
131.0,10040.0,12
54.0,8078.0,12
118.0,9842.0,12
111.0,9734.0,12
37.0,7165.0,12
77.0,8951.0,12
91.0,9307.0,12
63.0,8479.0,12
35.0,7024.0,12
9.0,4922.0,12
8.0,4773.0,12
69.0,8704.0,12
103.0,9576.0,12
63.0,8479.0,12
120.0,9903.0,12
19.0,5809.0,12
18.0,5726.0,12
85.0,9157.0,12
83.0,9105.0,12
96.0,9382.0,12
7.0,4585.0,12
6.0,4462.0,12
66.0,8613.0,12
21.0,5930.0,12
61.0,8378.0,12
76.0,8910.0,12
68.0,8662.0,12
4.0,3961.0,12
3.0,3845.0,12
1.0,3266.0,12
39.0,7335.0,12
18.0,5726.0,12
119.0,9888.0,12
108.0,9689.0,12
107.0,9669.0,12
9.0,4922.0,12
10.0,5030.0,12
130.0,10038.0,12
22.0,6119.0,12
84.0,9138.0,12
61.0,8378.0,12
92.0,9329.0,12
67.0,8637.0,12
28.0,6510.0,12
106.0,9631.0,12
24.0,6262.0,12
104.0,9587.0,12
105.0,9622.0,12
36.0,7118.0,12
109.0,9727.0,12
46.0,7805.0,12
93.0,9356.0,12
39.0,7335.0,12
137.0,10084.0,23
0.0,3151.0,23
137.0,10084.0,23
0.0,3151.0,23
2.0,3437.0,23
3.0,3845.0,23
24.0,6169.0,23
33.0,6989.0,23
16.0,5640.0,23
6.0,4462.0,23
5.0,4128.0,23
