V1,V2,set
0.0,5619.0,12
0.0,5619.0,12
122.0,9212.0,12
122.0,9212.0,12
119.0,9192.0,12
7.0,6229.0,12
2.0,5765.0,12
37.0,7397.0,12
24.0,6958.0,12
25.0,7026.0,12
64.0,8176.0,12
96.0,8883.0,12
115.0,9180.0,12
44.0,7643.0,12
17.0,6701.0,12
87.0,8744.0,12
60.0,8046.0,12
16.0,6661.0,12
42.0,7605.0,12
94.0,8850.0,12
3.0,5865.0,12
4.0,5988.0,12
22.0,6940.0,12
58.0,8013.0,12
91.0,8834.0,12
19.0,6824.0,12
106.0,9048.0,12
1.0,5732.0,12
104.0,9010.0,12
12.0,6453.0,12
6.0,6119.0,12
28.0,7155.0,12
15.0,6602.0,12
98.0,8901.0,12
49.0,7798.0,12
41.0,7574.0,12
3.0,5865.0,12
14.0,6582.0,12
39.0,7480.0,12
8.0,6257.0,12
69.0,8309.0,12
9.0,6299.0,12
10.0,6398.0,12
48.0,7747.0,12
84.0,8672.0,12
80.0,8582.0,12
101.0,8988.0,12
55.0,7939.0,12
79.0,8539.0,12
6.0,6119.0,12
5.0,6028.0,12
35.0,7366.0,12
113.0,9149.0,12
47.0,7729.0,12
57.0,7984.0,12
76.0,8468.0,12
100.0,8958.0,12
111.0,9140.0,12
99.0,8930.0,12
54.0,7892.0,12
32.0,7293.0,12
11.0,6450.0,12
83.0,8632.0,12
68.0,8262.0,12
75.0,8435.0,12
30.0,7203.0,12
77.0,8493.0,12
103.0,8995.0,12
73.0,8393.0,12
46.0,7687.0,12
13.0,6532.0,12
121.0,9205.0,12
29.0,7198.0,12
89.0,8786.0,12
78.0,8520.0,12
92.0,8846.0,12
50.0,7821.0,12
56.0,7955.0,12
109.0,9103.0,12
45.0,7679.0,12
86.0,8713.0,12
70.0,8332.0,12
89.0,8786.0,12
74.0,8415.0,12
85.0,8700.0,12
72.0,8365.0,12
52.0,7857.0,12
61.0,8083.0,12
110.0,9121.0,12
108.0,9076.0,12
51.0,7843.0,12
53.0,7882.0,12
61.0,8083.0,12
63.0,8147.0,12
38.0,7461.0,12
18.0,6764.0,12
71.0,8352.0,12
33.0,7305.0,12
35.0,7366.0,12
114.0,9171.0,12
18.0,6764.0,12
67.0,8256.0,12
63.0,8147.0,12
107.0,9066.0,12
66.0,8232.0,12
82.0,8618.0,12
66.0,8232.0,12
10.0,6398.0,12
40.0,7531.0,12
13.0,6532.0,12
26.0,7073.0,12
31.0,7250.0,12
27.0,7119.0,12
26.0,7073.0,12
21.0,6895.0,12
20.0,6851.0,12
21.0,6895.0,12
31.0,7250.0,12
40.0,7531.0,12
9.0,6299.0,12
0.0,5617.0,23
121.0,9212.0,23
121.0,9212.0,23
0.0,5617.0,23
3.0,5849.0,23
14.0,6606.0,23
28.0,7219.0,23
64.0,8169.0,23
1.0,5732.0,23
88.0,8768.0,23
42.0,7530.0,23
66.0,8225.0,23
117.0,9176.0,23
2.0,5755.0,23
70.0,8360.0,23
114.0,9146.0,23
4.0,5986.0,23
110.0,9107.0,23
72.0,8406.0,23
40.0,7479.0,23
9.0,6296.0,23
61.0,8104.0,23
23.0,6963.0,23
11.0,6418.0,23
76.0,8495.0,23
62.0,8129.0,23
86.0,8738.0,23
90.0,8814.0,23
26.0,7130.0,23
30.0,7274.0,23
8.0,6263.0,23
24.0,7005.0,23
74.0,8467.0,23
27.0,7146.0,23
108.0,9068.0,23
98.0,8946.0,23
45.0,7695.0,23
50.0,7820.0,23
21.0,6854.0,23
49.0,7774.0,23
51.0,7849.0,23
79.0,8577.0,23
16.0,6701.0,23
17.0,6727.0,23
100.0,8961.0,23
56.0,7985.0,23
38.0,7439.0,23
33.0,7322.0,23
85.0,8703.0,23
73.0,8435.0,23
13.0,6517.0,23
35.0,7380.0,23
34.0,7365.0,23
7.0,6206.0,23
6.0,6119.0,23
119.0,9180.0,23
57.0,8021.0,23
53.0,7913.0,23
5.0,6038.0,23
6.0,6119.0,23
46.0,7719.0,23
25.0,7053.0,23
77.0,8533.0,23
112.0,9115.0,23
54.0,7940.0,23
55.0,7958.0,23
78.0,8542.0,23
36.0,7423.0,23
80.0,8610.0,23
10.0,6366.0,23
32.0,7304.0,23
39.0,7456.0,23
18.0,6765.0,23
20.0,6834.0,23
69.0,8321.0,23
18.0,6765.0,23
67.0,8263.0,23
58.0,8037.0,23
84.0,8677.0,23
43.0,7577.0,23
44.0,7642.0,23
94.0,8879.0,23
97.0,8912.0,23
81.0,8618.0,23
91.0,8832.0,23
83.0,8667.0,23
120.0,9201.0,23
105.0,9025.0,23
95.0,8885.0,23
113.0,9123.0,23
93.0,8850.0,23
31.0,7282.0,23
47.0,7745.0,23
48.0,7749.0,23
69.0,8321.0,23
67.0,8263.0,23
101.0,8980.0,23
7.0,6206.0,23
106.0,9043.0,23
104.0,9011.0,23
96.0,8911.0,23
22.0,6907.0,23
16.0,6701.0,23
13.0,6517.0,23
12.0,6462.0,23
107.0,9052.0,23
44.0,7642.0,23
22.0,6907.0,23
5.0,6038.0,23
10.0,6366.0,23
4.0,5986.0,23
103.0,8998.0,23
59.0,8058.0,23
20.0,6834.0,23
25.0,7053.0,23
102.0,8989.0,23
92.0,8848.0,23
43.0,7577.0,23
59.0,8058.0,23
12.0,6462.0,23
122.0,9212.0,14
122.0,9212.0,14
0.0,5619.0,14
0.0,5619.0,14
82.0,8597.0,14
7.0,6229.0,14
4.0,5987.0,14
75.0,8451.0,14
20.0,6832.0,14
6.0,6079.0,14
105.0,9045.0,14
93.0,8804.0,14
79.0,8567.0,14
107.0,9116.0,14
112.0,9158.0,14
23.0,6967.0,14
59.0,8015.0,14
109.0,9150.0,14
3.0,5864.0,14
16.0,6714.0,14
13.0,6521.0,14
73.0,8402.0,14
103.0,9004.0,14
55.0,7897.0,14
22.0,6904.0,14
30.0,7210.0,14
45.0,7609.0,14
41.0,7519.0,14
60.0,8062.0,14
