V1,V2,set
0.0,3557.0,12
0.0,3557.0,12
115.0,9671.0,12
115.0,9671.0,12
1.0,3966.0,12
30.0,7021.0,12
3.0,4375.0,12
2.0,4052.0,12
6.0,4970.0,12
5.0,4648.0,12
28.0,6926.0,12
17.0,5967.0,12
16.0,5771.0,12
21.0,6411.0,12
9.0,5176.0,12
31.0,7201.0,12
12.0,5563.0,12
66.0,8633.0,12
38.0,7495.0,12
20.0,6194.0,12
51.0,8010.0,12
88.0,9240.0,12
45.0,7896.0,12
33.0,7343.0,12
113.0,9637.0,12
27.0,6810.0,12
110.0,9616.0,12
58.0,8290.0,12
76.0,8874.0,12
91.0,9360.0,12
3.0,4375.0,12
4.0,4554.0,12
97.0,9457.0,12
55.0,8139.0,12
90.0,9312.0,12
10.0,5346.0,12
26.0,6788.0,12
77.0,8979.0,12
8.0,5145.0,12
23.0,6506.0,12
63.0,8502.0,12
42.0,7786.0,12
57.0,8207.0,12
53.0,8041.0,12
69.0,8682.0,12
54.0,8062.0,12
70.0,8765.0,12
41.0,7704.0,12
65.0,8541.0,12
99.0,9487.0,12
14.0,5704.0,12
80.0,9005.0,12
31.0,7201.0,12
93.0,9385.0,12
62.0,8427.0,12
75.0,8849.0,12
61.0,8414.0,12
33.0,7343.0,12
81.0,9023.0,12
40.0,7690.0,12
73.0,8840.0,12
50.0,7937.0,12
78.0,8987.0,12
48.0,7914.0,12
60.0,8340.0,12
39.0,7623.0,12
89.0,9242.0,12
46.0,7904.0,12
109.0,9610.0,12
107.0,9599.0,12
85.0,9079.0,12
56.0,8184.0,12
86.0,9147.0,12
15.0,5717.0,12
72.0,8822.0,12
11.0,5451.0,12
24.0,6617.0,12
71.0,8780.0,12
105.0,9569.0,12
11.0,5451.0,12
10.0,5346.0,12
96.0,9417.0,12
83.0,9034.0,12
37.0,7459.0,12
23.0,6506.0,12
21.0,6411.0,12
6.0,4970.0,12
4.0,4554.0,12
7.0,5064.0,12
5.0,4648.0,12
104.0,9539.0,12
25.0,6695.0,12
86.0,9147.0,12
64.0,8538.0,12
20.0,6194.0,12
19.0,6105.0,12
114.0,9650.0,12
1.0,3966.0,12
2.0,4052.0,12
36.0,7451.0,12
43.0,7811.0,12
35.0,7427.0,12
106.0,9594.0,12
7.0,5064.0,12
13.0,5625.0,12
102.0,9516.0,12
43.0,7811.0,12
24.0,6617.0,12
25.0,6695.0,12
35.0,7427.0,12
49.0,7930.0,12
103.0,9529.0,12
95.0,9407.0,12
94.0,9395.0,12
68.0,8660.0,12
19.0,6105.0,12
18.0,6030.0,12
101.0,9504.0,12
100.0,9497.0,12
39.0,7623.0,12
114.0,9671.0,23
114.0,9671.0,23
0.0,3557.0,23
0.0,3557.0,23
6.0,4970.0,23
1.0,3966.0,23
23.0,6528.0,23
10.0,5346.0,23
5.0,4645.0,23
2.0,4050.0,23
3.0,4375.0,23
75.0,8816.0,23
22.0,6335.0,23
