V1,V2,set,DM_range
20.0,5342.0,0,10to20
18.0,5319.0,1,10to20
20.0,5434.0,2,10to20
19.0,4974.0,3,10to20
20.0,5285.0,4,10to20
20.0,5472.0,5,10to20
20.0,5408.0,6,10to20
20.0,5543.0,7,10to20
20.0,5349.0,8,10to20
19.0,5463.0,9,10to20
19.0,5366.0,10,10to20
20.0,5331.0,11,10to20
20.0,5461.0,12,10to20
20.0,5408.0,13,10to20
13.0,4833.0,14,10to20
20.0,5707.0,15,10to20
19.0,5400.0,16,10to20
19.0,5472.0,17,10to20
20.0,5442.0,18,10to20
20.0,5043.0,19,10to20
15.0,5050.0,20,10to20
20.0,5385.0,21,10to20
20.0,5515.0,22,10to20
20.0,5474.0,23,10to20
19.0,5380.0,24,10to20
20.0,5184.0,25,10to20
20.0,5394.0,26,10to20
20.0,5447.0,27,10to20
19.0,5364.0,28,10to20
5.0,4050.0,29,10to20
28.0,5895.0,0,20to30
30.0,5902.0,1,20to30
29.0,6138.0,2,20to30
30.0,6169.0,3,20to30
30.0,6027.0,4,20to30
30.0,6013.0,5,20to30
30.0,6145.0,6,20to30
30.0,6166.0,7,20to30
28.0,6029.0,8,20to30
30.0,6325.0,9,20to30
30.0,6057.0,10,20to30
29.0,6004.0,11,20to30
29.0,6219.0,12,20to30
22.0,5581.0,13,20to30
30.0,5749.0,14,20to30
30.0,6156.0,15,20to30
30.0,5912.0,16,20to30
29.0,6196.0,17,20to30
30.0,6200.0,18,20to30
30.0,5380.0,19,20to30
29.0,6173.0,20,20to30
28.0,6041.0,21,20to30
30.0,6083.0,22,20to30
29.0,6122.0,23,20to30
30.0,6057.0,24,20to30
26.0,5967.0,25,20to30
30.0,6037.0,26,20to30
30.0,6213.0,27,20to30
30.0,6142.0,28,20to30
30.0,6073.0,29,20to30
40.0,6772.0,0,30to40
37.0,6529.0,1,30to40
40.0,6768.0,2,30to40
40.0,6776.0,3,30to40
40.0,6815.0,4,30to40
38.0,6438.0,5,30to40
40.0,6632.0,6,30to40
40.0,6874.0,7,30to40
39.0,6650.0,8,30to40
40.0,6896.0,9,30to40
24.0,5841.0,10,30to40
40.0,6806.0,11,30to40
40.0,6812.0,12,30to40
40.0,6718.0,13,30to40
40.0,6822.0,14,30to40
40.0,7066.0,15,30to40
40.0,6834.0,16,30to40
39.0,6740.0,17,30to40
40.0,6980.0,18,30to40
38.0,6730.0,19,30to40
40.0,6865.0,20,30to40
40.0,6800.0,21,30to40
40.0,6818.0,22,30to40
23.0,5689.0,23,30to40
39.0,6513.0,24,30to40
40.0,6666.0,25,30to40
40.0,6966.0,26,30to40
40.0,6956.0,27,30to40
40.0,6838.0,28,30to40
40.0,6800.0,29,30to40
20.0,5342.0,0,10to20
18.0,5319.0,1,10to20
20.0,5434.0,2,10to20
19.0,4974.0,3,10to20
20.0,5285.0,4,10to20
20.0,5472.0,5,10to20
20.0,5408.0,6,10to20
20.0,5543.0,7,10to20
20.0,5349.0,8,10to20
19.0,5463.0,9,10to20
19.0,5366.0,10,10to20
20.0,5331.0,11,10to20
20.0,5461.0,12,10to20
20.0,5408.0,13,10to20
