V1,V2,set,DM_range
20.0,8402.0,0,10to20
19.0,8399.0,1,10to20
8.0,8296.0,2,10to20
20.0,8401.0,3,10to20
20.0,8402.0,4,10to20
20.0,8400.0,5,10to20
20.0,8402.0,6,10to20
20.0,8401.0,7,10to20
20.0,8404.0,8,10to20
20.0,8402.0,9,10to20
20.0,8401.0,10,10to20
18.0,8398.0,11,10to20
20.0,8403.0,12,10to20
20.0,8404.0,13,10to20
20.0,8405.0,14,10to20
20.0,8400.0,15,10to20
20.0,8400.0,16,10to20
20.0,8400.0,17,10to20
20.0,8400.0,18,10to20
20.0,8400.0,19,10to20
16.0,8391.0,20,10to20
20.0,8403.0,21,10to20
20.0,8400.0,22,10to20
20.0,8400.0,23,10to20
20.0,8402.0,24,10to20
20.0,8400.0,25,10to20
17.0,8394.0,26,10to20
20.0,8403.0,27,10to20
13.0,8379.0,28,10to20
20.0,8400.0,29,10to20
25.0,8421.0,0,20to30
24.0,8421.0,1,20to30
25.0,8421.0,2,20to30
24.0,8421.0,3,20to30
24.0,8421.0,4,20to30
25.0,8421.0,5,20to30
24.0,8421.0,6,20to30
24.0,8421.0,7,20to30
24.0,8421.0,8,20to30
24.0,8421.0,9,20to30
24.0,8421.0,10,20to30
24.0,8421.0,11,20to30
23.0,8421.0,12,20to30
24.0,8421.0,13,20to30
24.0,8421.0,14,20to30
24.0,8421.0,15,20to30
25.0,8421.0,16,20to30
24.0,8421.0,17,20to30
24.0,8421.0,18,20to30
25.0,8421.0,19,20to30
24.0,8421.0,20,20to30
24.0,8421.0,21,20to30
24.0,8421.0,22,20to30
24.0,8421.0,23,20to30
25.0,8421.0,24,20to30
25.0,8421.0,25,20to30
24.0,8421.0,26,20to30
24.0,8421.0,27,20to30
24.0,8421.0,28,20to30
24.0,8421.0,29,20to30
25.0,8421.0,0,30to40
24.0,8421.0,1,30to40
25.0,8421.0,2,30to40
24.0,8421.0,3,30to40
24.0,8421.0,4,30to40
25.0,8421.0,5,30to40
24.0,8421.0,6,30to40
24.0,8421.0,7,30to40
24.0,8421.0,8,30to40
24.0,8421.0,9,30to40
24.0,8421.0,10,30to40
24.0,8421.0,11,30to40
23.0,8421.0,12,30to40
24.0,8421.0,13,30to40
24.0,8421.0,14,30to40
