V1,V2,set
0.0,8476.0,12
0.0,8476.0,12
69.0,11461.0,12
3.0,9598.0,12
2.0,8742.0,12
18.0,10638.0,12
63.0,11451.0,12
24.0,10861.0,12
1.0,8558.0,12
2.0,8742.0,12
16.0,10471.0,12
21.0,10696.0,12
15.0,10375.0,12
37.0,11055.0,12
23.0,10760.0,12
28.0,10907.0,12
17.0,10514.0,12
43.0,11123.0,12
4.0,9694.0,12
5.0,9807.0,12
6.0,9912.0,12
5.0,9807.0,12
51.0,11273.0,12
42.0,11068.0,12
21.0,10696.0,12
3.0,9598.0,12
4.0,9694.0,12
40.0,11058.0,12
14.0,10365.0,12
54.0,11338.0,12
8.0,10044.0,12
9.0,10129.0,12
1.0,8558.0,12
57.0,11374.0,12
8.0,10044.0,12
7.0,9973.0,12
59.0,11396.0,12
57.0,11374.0,12
51.0,11273.0,12
54.0,11338.0,12
23.0,10760.0,12
30.0,10914.0,12
6.0,9912.0,12
7.0,9973.0,12
11.0,10234.0,12
12.0,10293.0,12
36.0,10996.0,12
10.0,10186.0,12
9.0,10129.0,12
10.0,10186.0,12
11.0,10234.0,12
28.0,10907.0,12
24.0,10861.0,12
55.0,11340.0,12
35.0,10952.0,12
36.0,10996.0,12
17.0,10514.0,12
13.0,10327.0,12
45.0,11177.0,12
44.0,11141.0,12
55.0,11340.0,12
13.0,10327.0,12
12.0,10293.0,12
46.0,11191.0,12
47.0,11218.0,12
60.0,11423.0,12
59.0,11396.0,12
50.0,11255.0,12
49.0,11234.0,12
35.0,10952.0,12
34.0,10932.0,12
50.0,11255.0,12
44.0,11141.0,12
62.0,11433.0,12
47.0,11218.0,12
48.0,11233.0,12
45.0,11177.0,12
46.0,11191.0,12
31.0,10927.0,12
62.0,11433.0,12
41.0,11065.0,12
61.0,11426.0,12
29.0,10909.0,12
40.0,11058.0,12
37.0,11055.0,12
61.0,11426.0,12
32.0,10928.0,12
41.0,11065.0,12
33.0,10931.0,12
60.0,11423.0,12
29.0,10909.0,12
33.0,10931.0,12
34.0,10932.0,12
48.0,11233.0,12
49.0,11234.0,12
31.0,10927.0,12
32.0,10928.0,12
3.0,9598.0,12
37.0,11055.0,12
51.0,11273.0,12
3.0,9598.0,12
4.0,9694.0,12
4.0,9694.0,12
3.0,9598.0,12
8.0,10044.0,12
46.0,11191.0,12
11.0,10234.0,12
46.0,11191.0,12
6.0,9912.0,12
9.0,10129.0,12
3.0,9598.0,12
8.0,10044.0,12
44.0,11141.0,12
6.0,9912.0,12
32.0,10928.0,12
0.0,8476.0,12
3.0,9598.0,12
51.0,11273.0,12
57.0,11374.0,12
17.0,10514.0,12
69.0,11435.0,23
0.0,8476.0,23
0.0,8476.0,23
69.0,11435.0,23
3.0,9598.0,23
2.0,8742.0,23
43.0,11293.0,23
50.0,11334.0,23
42.0,11190.0,23
2.0,8742.0,23
1.0,8558.0,23
35.0,11106.0,23
16.0,10552.0,23
15.0,10393.0,23
39.0,11185.0,23
5.0,9807.0,23
4.0,9694.0,23
30.0,11042.0,23
29.0,10935.0,23
6.0,9912.0,23
5.0,9807.0,23
19.0,10590.0,23
52.0,11402.0,23
3.0,9598.0,23
4.0,9694.0,23
28.0,10887.0,23
67.0,11432.0,23
20.0,10647.0,23
21.0,10733.0,23
1.0,8558.0,23
8.0,10045.0,23
9.0,10125.0,23
10.0,10182.0,23
11.0,10257.0,23
7.0,9973.0,23
8.0,10045.0,23
13.0,10281.0,23
14.0,10347.0,23
6.0,9912.0,23
7.0,9973.0,23
51.0,11394.0,23
36.0,11165.0,23
26.0,10829.0,23
28.0,10887.0,23
26.0,10829.0,23
34.0,11048.0,23
9.0,10125.0,23
20.0,10647.0,23
10.0,10182.0,23
38.0,11180.0,23
29.0,10935.0,23
61.0,11422.0,23
58.0,11415.0,23
15.0,10393.0,23
14.0,10347.0,23
31.0,11045.0,23
54.0,11408.0,23
33.0,11047.0,23
43.0,11293.0,23
50.0,11334.0,23
22.0,10759.0,23
23.0,10792.0,23
16.0,10552.0,23
17.0,10580.0,23
22.0,10759.0,23
21.0,10733.0,23
12.0,10261.0,23
13.0,10281.0,23
25.0,10813.0,23
24.0,10794.0,23
25.0,10813.0,23
37.0,11175.0,23
36.0,11165.0,23
17.0,10580.0,23
18.0,10588.0,23
51.0,11394.0,23
54.0,11408.0,23
42.0,11190.0,23
37.0,11175.0,23
12.0,10261.0,23
11.0,10257.0,23
30.0,11042.0,23
60.0,11420.0,23
59.0,11417.0,23
63.0,11426.0,23
