V1,V2,set
182.0,11584.0,12
0.0,4406.0,12
0.0,4406.0,12
144.0,11143.0,12
134.0,11114.0,12
17.0,6190.0,12
24.0,6799.0,12
2.0,4772.0,12
113.0,10719.0,12
5.0,5114.0,12
11.0,5663.0,12
175.0,11579.0,12
19.0,6320.0,12
35.0,7564.0,12
64.0,8985.0,12
171.0,11552.0,12
8.0,5371.0,12
34.0,7429.0,12
118.0,10733.0,12
41.0,7955.0,12
68.0,9229.0,12
111.0,10650.0,12
21.0,6511.0,12
121.0,10863.0,12
148.0,11212.0,12
179.0,11583.0,12
4.0,4942.0,12
29.0,7112.0,12
124.0,10883.0,12
61.0,8909.0,12
27.0,7046.0,12
12.0,5784.0,12
49.0,8404.0,12
1.0,4630.0,12
44.0,8029.0,12
30.0,7205.0,12
87.0,9980.0,12
67.0,9123.0,12
65.0,9088.0,12
73.0,9441.0,12
32.0,7357.0,12
14.0,5888.0,12
71.0,9358.0,12
3.0,4914.0,12
119.0,10793.0,12
95.0,10232.0,12
168.0,11522.0,12
16.0,6038.0,12
81.0,9706.0,12
54.0,8647.0,12
53.0,8562.0,12
45.0,8166.0,12
105.0,10535.0,12
10.0,5513.0,12
126.0,10940.0,12
100.0,10365.0,12
151.0,11267.0,12
56.0,8683.0,12
57.0,8761.0,12
31.0,7293.0,12
7.0,5256.0,12
15.0,6026.0,12
59.0,8797.0,12
131.0,11026.0,12
47.0,8295.0,12
6.0,5220.0,12
9.0,5509.0,12
153.0,11307.0,12
109.0,10578.0,12
94.0,10171.0,12
39.0,7680.0,12
93.0,10094.0,12
161.0,11435.0,12
97.0,10300.0,12
37.0,7650.0,12
78.0,9617.0,12
46.0,8186.0,12
132.0,11089.0,12
102.0,10401.0,12
26.0,6962.0,12
50.0,8515.0,12
108.0,10551.0,12
40.0,7794.0,12
84.0,9819.0,12
43.0,7982.0,12
76.0,9592.0,12
60.0,8871.0,12
48.0,8330.0,12
129.0,10983.0,12
98.0,10326.0,12
13.0,5851.0,12
74.0,9495.0,12
1.0,4630.0,12
82.0,9807.0,12
75.0,9544.0,12
