V1,V2,set,DM_range
20.0,9180.0,0,10to20
20.0,9324.0,1,10to20
20.0,9307.0,2,10to20
18.0,8842.0,3,10to20
20.0,8976.0,4,10to20
18.0,8772.0,5,10to20
20.0,8976.0,6,10to20
20.0,8993.0,7,10to20
20.0,9096.0,8,10to20
20.0,8803.0,9,10to20
20.0,9118.0,10,10to20
20.0,9264.0,11,10to20
20.0,9275.0,12,10to20
19.0,9006.0,13,10to20
19.0,8950.0,14,10to20
20.0,9076.0,15,10to20
19.0,9006.0,16,10to20
20.0,8966.0,17,10to20
20.0,8974.0,18,10to20
20.0,9114.0,19,10to20
20.0,9183.0,20,10to20
18.0,8909.0,21,10to20
20.0,9028.0,22,10to20
20.0,8886.0,23,10to20
20.0,9283.0,24,10to20
20.0,8977.0,25,10to20
19.0,9081.0,26,10to20
11.0,8057.0,27,10to20
20.0,9151.0,28,10to20
20.0,9038.0,29,10to20
30.0,9906.0,0,20to30
30.0,10050.0,1,20to30
27.0,9426.0,2,20to30
27.0,9585.0,3,20to30
15.0,8835.0,4,20to30
26.0,9812.0,5,20to30
30.0,10105.0,6,20to30
30.0,9752.0,7,20to30
10.0,8127.0,8,20to30
18.0,8933.0,9,20to30
30.0,9631.0,10,20to30
16.0,9087.0,11,20to30
30.0,10046.0,12,20to30
30.0,9610.0,13,20to30
30.0,9402.0,14,20to30
10.0,8338.0,15,20to30
22.0,9625.0,16,20to30
30.0,10023.0,17,20to30
30.0,9735.0,18,20to30
30.0,9917.0,19,20to30
29.0,9937.0,20,20to30
30.0,9911.0,21,20to30
30.0,9515.0,22,20to30
29.0,9823.0,23,20to30
30.0,9662.0,24,20to30
30.0,9767.0,25,20to30
13.0,8422.0,26,20to30
30.0,9887.0,27,20to30
30.0,9497.0,28,20to30
30.0,9442.0,29,20to30
38.0,10250.0,0,30to40
39.0,10504.0,1,30to40
39.0,10711.0,2,30to40
40.0,10631.0,3,30to40
40.0,10334.0,4,30to40
39.0,10516.0,5,30to40
40.0,10712.0,6,30to40
39.0,10476.0,7,30to40
39.0,10523.0,8,30to40
40.0,10484.0,9,30to40
39.0,10594.0,10,30to40
40.0,10636.0,11,30to40
37.0,10405.0,12,30to40
40.0,10476.0,13,30to40
39.0,10200.0,14,30to40
40.0,10317.0,15,30to40
23.0,9380.0,16,30to40
40.0,10308.0,17,30to40
35.0,10330.0,18,30to40
40.0,10511.0,19,30to40
40.0,10085.0,20,30to40
37.0,10209.0,21,30to40
40.0,10385.0,22,30to40
38.0,10279.0,23,30to40
40.0,10677.0,24,30to40
40.0,10135.0,25,30to40
40.0,10336.0,26,30to40
40.0,10414.0,27,30to40
31.0,9861.0,28,30to40
39.0,10257.0,29,30to40
20.0,9180.0,0,10to20
20.0,9324.0,1,10to20
20.0,9307.0,2,10to20
18.0,8842.0,3,10to20
20.0,8976.0,4,10to20
18.0,8772.0,5,10to20
20.0,8976.0,6,10to20
20.0,8993.0,7,10to20
20.0,9096.0,8,10to20
20.0,8803.0,9,10to20
20.0,9118.0,10,10to20
20.0,9264.0,11,10to20
20.0,9275.0,12,10to20
19.0,9006.0,13,10to20
19.0,8950.0,14,10to20
20.0,9076.0,15,10to20
19.0,9006.0,16,10to20
20.0,8966.0,17,10to20
20.0,8974.0,18,10to20
20.0,9114.0,19,10to20
20.0,9183.0,20,10to20
18.0,8909.0,21,10to20
20.0,9028.0,22,10to20
20.0,8886.0,23,10to20
20.0,9283.0,24,10to20
20.0,8977.0,25,10to20
19.0,9081.0,26,10to20
11.0,8057.0,27,10to20
20.0,9151.0,28,10to20
20.0,9038.0,29,10to20
30.0,9906.0,0,20to30
30.0,10050.0,1,20to30
27.0,9426.0,2,20to30
27.0,9585.0,3,20to30
15.0,8835.0,4,20to30
26.0,9812.0,5,20to30
30.0,10105.0,6,20to30
30.0,9752.0,7,20to30
10.0,8127.0,8,20to30
18.0,8933.0,9,20to30
30.0,9631.0,10,20to30
16.0,9087.0,11,20to30
30.0,10046.0,12,20to30
30.0,9610.0,13,20to30
30.0,9402.0,14,20to30
10.0,8338.0,15,20to30
22.0,9625.0,16,20to30
30.0,10023.0,17,20to30
30.0,9735.0,18,20to30
30.0,9917.0,19,20to30
29.0,9937.0,20,20to30
30.0,9911.0,21,20to30
30.0,9515.0,22,20to30
29.0,9823.0,23,20to30
30.0,9662.0,24,20to30
30.0,9767.0,25,20to30
13.0,8422.0,26,20to30
30.0,9887.0,27,20to30
30.0,9497.0,28,20to30
30.0,9442.0,29,20to30
38.0,10250.0,0,30to40
39.0,10504.0,1,30to40
39.0,10711.0,2,30to40
40.0,10631.0,3,30to40
40.0,10334.0,4,30to40
39.0,10516.0,5,30to40
40.0,10712.0,6,30to40
39.0,10476.0,7,30to40
39.0,10523.0,8,30to40
40.0,10484.0,9,30to40
39.0,10594.0,10,30to40
40.0,10636.0,11,30to40
37.0,10405.0,12,30to40
40.0,10476.0,13,30to40
39.0,10200.0,14,30to40
40.0,10317.0,15,30to40
23.0,9380.0,16,30to40
40.0,10308.0,17,30to40
35.0,10330.0,18,30to40
40.0,10511.0,19,30to40
40.0,10085.0,20,30to40
37.0,10209.0,21,30to40
40.0,10385.0,22,30to40
38.0,10279.0,23,30to40
40.0,10677.0,24,30to40
40.0,10135.0,25,30to40
40.0,10336.0,26,30to40
40.0,10414.0,27,30to40
31.0,9861.0,28,30to40
39.0,10257.0,29,30to40
20.0,9180.0,0,10to20
20.0,9324.0,1,10to20
20.0,9307.0,2,10to20
18.0,8842.0,3,10to20
20.0,8976.0,4,10to20
