V1,V2,set,DM_range
20.0,6569.0,0,10to20
20.0,6591.0,1,10to20
20.0,6558.0,2,10to20
18.0,6561.0,3,10to20
20.0,6599.0,4,10to20
20.0,6551.0,5,10to20
20.0,6486.0,6,10to20
20.0,6576.0,7,10to20
20.0,6566.0,8,10to20
20.0,6646.0,9,10to20
15.0,6387.0,10,10to20
20.0,6587.0,11,10to20
20.0,6525.0,12,10to20
20.0,6519.0,13,10to20
20.0,6600.0,14,10to20
20.0,6528.0,15,10to20
20.0,6583.0,16,10to20
20.0,6541.0,17,10to20
19.0,6553.0,18,10to20
20.0,6513.0,19,10to20
20.0,6574.0,20,10to20
20.0,6662.0,21,10to20
20.0,6608.0,22,10to20
11.0,6100.0,23,10to20
20.0,6614.0,24,10to20
20.0,6582.0,25,10to20
19.0,6475.0,26,10to20
20.0,6612.0,27,10to20
19.0,6611.0,28,10to20
20.0,6418.0,29,10to20
23.0,6697.0,0,20to30
30.0,6913.0,1,20to30
30.0,6964.0,2,20to30
30.0,6847.0,3,20to30
30.0,6947.0,4,20to30
30.0,6936.0,5,20to30
30.0,6956.0,6,20to30
30.0,6945.0,7,20to30
30.0,6976.0,8,20to30
30.0,6905.0,9,20to30
30.0,6960.0,10,20to30
30.0,6974.0,11,20to30
30.0,6903.0,12,20to30
29.0,6919.0,13,20to30
29.0,6921.0,14,20to30
30.0,6979.0,15,20to30
20.0,6609.0,16,20to30
29.0,6873.0,17,20to30
30.0,6999.0,18,20to30
22.0,6654.0,19,20to30
16.0,6435.0,20,20to30
30.0,6953.0,21,20to30
29.0,6912.0,22,20to30
30.0,6931.0,23,20to30
30.0,6882.0,24,20to30
26.0,6813.0,25,20to30
30.0,6892.0,26,20to30
29.0,6891.0,27,20to30
30.0,6853.0,28,20to30
30.0,7007.0,29,20to30
37.0,7106.0,0,30to40
31.0,6943.0,1,30to40
39.0,7230.0,2,30to40
40.0,7198.0,3,30to40
40.0,7186.0,4,30to40
40.0,7204.0,5,30to40
40.0,7232.0,6,30to40
30.0,6942.0,7,30to40
40.0,7224.0,8,30to40
40.0,7233.0,9,30to40
40.0,7218.0,10,30to40
39.0,7201.0,11,30to40
40.0,7169.0,12,30to40
40.0,7217.0,13,30to40
40.0,7198.0,14,30to40
40.0,7201.0,15,30to40
27.0,6881.0,16,30to40
40.0,7177.0,17,30to40
40.0,7216.0,18,30to40
39.0,7213.0,19,30to40
40.0,7288.0,20,30to40
40.0,7179.0,21,30to40
40.0,7202.0,22,30to40
38.0,7182.0,23,30to40
40.0,7157.0,24,30to40
35.0,7132.0,25,30to40
40.0,7214.0,26,30to40
40.0,7208.0,27,30to40
40.0,7234.0,28,30to40
40.0,7174.0,29,30to40
20.0,6569.0,0,10to20
20.0,6591.0,1,10to20
20.0,6558.0,2,10to20
18.0,6561.0,3,10to20
20.0,6599.0,4,10to20
20.0,6551.0,5,10to20
20.0,6486.0,6,10to20
20.0,6576.0,7,10to20
20.0,6566.0,8,10to20
20.0,6646.0,9,10to20
15.0,6387.0,10,10to20
20.0,6587.0,11,10to20
20.0,6525.0,12,10to20
20.0,6519.0,13,10to20
20.0,6600.0,14,10to20
20.0,6528.0,15,10to20
20.0,6583.0,16,10to20
20.0,6541.0,17,10to20
19.0,6553.0,18,10to20
20.0,6513.0,19,10to20
20.0,6574.0,20,10to20
20.0,6662.0,21,10to20
20.0,6608.0,22,10to20
11.0,6100.0,23,10to20
20.0,6614.0,24,10to20
20.0,6582.0,25,10to20
19.0,6475.0,26,10to20
20.0,6612.0,27,10to20
19.0,6611.0,28,10to20
20.0,6418.0,29,10to20
23.0,6697.0,0,20to30
30.0,6913.0,1,20to30
30.0,6964.0,2,20to30
30.0,6847.0,3,20to30
30.0,6947.0,4,20to30
30.0,6936.0,5,20to30
30.0,6956.0,6,20to30
30.0,6945.0,7,20to30
30.0,6976.0,8,20to30
30.0,6905.0,9,20to30
30.0,6960.0,10,20to30
30.0,6974.0,11,20to30
30.0,6903.0,12,20to30
29.0,6919.0,13,20to30
29.0,6921.0,14,20to30
30.0,6979.0,15,20to30
20.0,6609.0,16,20to30
29.0,6873.0,17,20to30
30.0,6999.0,18,20to30
22.0,6654.0,19,20to30
16.0,6435.0,20,20to30
30.0,6953.0,21,20to30
29.0,6912.0,22,20to30
30.0,6931.0,23,20to30
30.0,6882.0,24,20to30
26.0,6813.0,25,20to30
30.0,6892.0,26,20to30
29.0,6891.0,27,20to30
30.0,6853.0,28,20to30
30.0,7007.0,29,20to30
37.0,7106.0,0,30to40
31.0,6943.0,1,30to40
39.0,7230.0,2,30to40
40.0,7198.0,3,30to40
40.0,7186.0,4,30to40
40.0,7204.0,5,30to40
40.0,7232.0,6,30to40
30.0,6942.0,7,30to40
40.0,7224.0,8,30to40
40.0,7233.0,9,30to40
40.0,7218.0,10,30to40
39.0,7201.0,11,30to40
40.0,7169.0,12,30to40
40.0,7217.0,13,30to40
40.0,7198.0,14,30to40
40.0,7201.0,15,30to40
27.0,6881.0,16,30to40
40.0,7177.0,17,30to40
40.0,7216.0,18,30to40
39.0,7213.0,19,30to40
40.0,7288.0,20,30to40
40.0,7179.0,21,30to40
40.0,7202.0,22,30to40
38.0,7182.0,23,30to40
40.0,7157.0,24,30to40
