V1,V2,set
58.0,11249.0,12
0.0,9818.0,12
58.0,11249.0,12
0.0,9818.0,12
1.0,10055.0,12
8.0,10479.0,12
9.0,10635.0,12
4.0,10311.0,12
3.0,10176.0,12
18.0,10938.0,12
2.0,10114.0,12
3.0,10176.0,12
4.0,10311.0,12
5.0,10373.0,12
1.0,10055.0,12
2.0,10114.0,12
27.0,11056.0,12
15.0,10877.0,12
14.0,10822.0,12
11.0,10696.0,12
12.0,10750.0,12
13.0,10770.0,12
14.0,10822.0,12
33.0,11126.0,12
34.0,11177.0,12
10.0,10683.0,12
9.0,10635.0,12
25.0,11034.0,12
36.0,11180.0,12
6.0,10416.0,12
5.0,10373.0,12
37.0,11223.0,12
7.0,10440.0,12
8.0,10479.0,12
20.0,10953.0,12
22.0,10983.0,12
23.0,11014.0,12
56.0,11248.0,12
54.0,11246.0,12
54.0,11246.0,12
52.0,11245.0,12
50.0,11244.0,12
52.0,11245.0,12
56.0,11248.0,12
7.0,10440.0,12
28.0,11080.0,12
6.0,10416.0,12
17.0,10916.0,12
16.0,10893.0,12
17.0,10916.0,12
22.0,10983.0,12
21.0,10961.0,12
13.0,10770.0,12
12.0,10750.0,12
31.0,11122.0,12
30.0,11104.0,12
16.0,10893.0,12
15.0,10877.0,12
28.0,11080.0,12
29.0,11096.0,12
20.0,10953.0,12
26.0,11049.0,12
23.0,11014.0,12
24.0,11028.0,12
11.0,10696.0,12
10.0,10683.0,12
21.0,10961.0,12
30.0,11104.0,12
29.0,11096.0,12
26.0,11049.0,12
24.0,11028.0,12
43.0,11234.0,12
31.0,11122.0,12
35.0,11179.0,12
44.0,11236.0,12
40.0,11229.0,12
48.0,11242.0,12
34.0,11177.0,12
45.0,11238.0,12
38.0,11225.0,12
39.0,11227.0,12
41.0,11231.0,12
37.0,11223.0,12
33.0,11126.0,12
42.0,11232.0,12
32.0,11124.0,12
38.0,11225.0,12
47.0,11240.0,12
39.0,11227.0,12
40.0,11229.0,12
43.0,11234.0,12
44.0,11236.0,12
32.0,11124.0,12
42.0,11232.0,12
47.0,11240.0,12
50.0,11244.0,12
45.0,11238.0,12
46.0,11239.0,12
49.0,11243.0,12
36.0,11180.0,12
46.0,11239.0,12
35.0,11179.0,12
49.0,11243.0,12
48.0,11242.0,12
41.0,11231.0,12
33.0,11126.0,12
8.0,10479.0,12
39.0,11227.0,12
45.0,11238.0,12
47.0,11240.0,12
20.0,10953.0,12
6.0,10416.0,12
34.0,11177.0,12
0.0,9818.0,12
1.0,10055.0,12
16.0,10893.0,12
13.0,10770.0,12
8.0,10479.0,12
54.0,11246.0,12
50.0,11244.0,12
0.0,9818.0,23
59.0,11247.0,23
59.0,11247.0,23
0.0,9818.0,23
1.0,10055.0,23
3.0,10173.0,23
4.0,10299.0,23
7.0,10459.0,23
8.0,10582.0,23
8.0,10582.0,23
9.0,10652.0,23
4.0,10299.0,23
5.0,10361.0,23
3.0,10173.0,23
2.0,10112.0,23
2.0,10112.0,23
1.0,10055.0,23
22.0,10986.0,23
28.0,11073.0,23
36.0,11179.0,23
7.0,10459.0,23
6.0,10407.0,23
35.0,11127.0,23
16.0,10918.0,23
15.0,10871.0,23
6.0,10407.0,23
5.0,10361.0,23
13.0,10810.0,23
38.0,11181.0,23
39.0,11224.0,23
12.0,10767.0,23
13.0,10810.0,23
14.0,10851.0,23
31.0,11117.0,23
11.0,10727.0,23
12.0,10767.0,23
9.0,10652.0,23
10.0,10690.0,23
11.0,10727.0,23
10.0,10690.0,23
54.0,11243.0,23
57.0,11245.0,23
49.0,11240.0,23
52.0,11242.0,23
55.0,11244.0,23
51.0,11241.0,23
16.0,10918.0,23
23.0,11010.0,23
17.0,10942.0,23
23.0,11010.0,23
24.0,11032.0,23
15.0,10871.0,23
14.0,10851.0,23
29.0,11093.0,23
19.0,10948.0,23
20.0,10966.0,23
26.0,11046.0,23
27.0,11063.0,23
20.0,10966.0,23
21.0,10980.0,23
