V1,V2,set
76.0,7539.0,12
76.0,7539.0,12
0.0,2684.0,12
0.0,2684.0,12
70.0,7538.0,12
30.0,6012.0,12
4.0,3363.0,12
5.0,3611.0,12
1.0,2789.0,12
2.0,3029.0,12
3.0,3260.0,12
2.0,3029.0,12
16.0,4731.0,12
8.0,4096.0,12
7.0,3903.0,12
68.0,7515.0,12
22.0,5310.0,12
23.0,5482.0,12
38.0,6312.0,12
61.0,7379.0,12
17.0,4856.0,12
18.0,5018.0,12
29.0,5852.0,12
63.0,7398.0,12
36.0,6206.0,12
47.0,6914.0,12
46.0,6760.0,12
7.0,3903.0,12
6.0,3752.0,12
8.0,4096.0,12
9.0,4242.0,12
28.0,5810.0,12
27.0,5665.0,12
5.0,3611.0,12
6.0,3752.0,12
53.0,7182.0,12
52.0,7047.0,12
9.0,4242.0,12
10.0,4370.0,12
13.0,4604.0,12
12.0,4478.0,12
17.0,4856.0,12
48.0,6946.0,12
39.0,6330.0,12
41.0,6473.0,12
40.0,6361.0,12
22.0,5310.0,12
21.0,5202.0,12
66.0,7473.0,12
1.0,2789.0,12
45.0,6655.0,12
46.0,6760.0,12
49.0,6966.0,12
3.0,3260.0,12
4.0,3363.0,12
58.0,7317.0,12
14.0,4703.0,12
13.0,4604.0,12
44.0,6614.0,12
43.0,6516.0,12
31.0,6041.0,12
15.0,4723.0,12
25.0,5616.0,12
24.0,5528.0,12
37.0,6225.0,12
20.0,5119.0,12
21.0,5202.0,12
19.0,5098.0,12
18.0,5018.0,12
35.0,6133.0,12
70.0,7538.0,12
11.0,4431.0,12
10.0,4370.0,12
11.0,4431.0,12
12.0,4478.0,12
24.0,5528.0,12
23.0,5482.0,12
29.0,5852.0,12
28.0,5810.0,12
45.0,6655.0,12
44.0,6614.0,12
50.0,6987.0,12
51.0,7026.0,12
35.0,6133.0,12
34.0,6095.0,12
64.0,7409.0,12
65.0,7443.0,12
32.0,6042.0,12
57.0,7299.0,12
56.0,7267.0,12
47.0,6914.0,12
33.0,6074.0,12
55.0,7236.0,12
56.0,7267.0,12
55.0,7236.0,12
54.0,7205.0,12
40.0,6361.0,12
65.0,7443.0,12
67.0,7487.0,12
26.0,5641.0,12
25.0,5616.0,12
26.0,5641.0,12
27.0,5665.0,12
53.0,7182.0,12
42.0,6493.0,12
43.0,6516.0,12
54.0,7205.0,12
60.0,7357.0,12
52.0,7047.0,12
51.0,7026.0,12
34.0,6095.0,12
19.0,5098.0,12
33.0,6074.0,12
50.0,6987.0,12
20.0,5119.0,12
60.0,7357.0,12
59.0,7337.0,12
41.0,6473.0,12
14.0,4703.0,12
42.0,6493.0,12
0.0,2684.0,23
74.0,7539.0,23
74.0,7539.0,23
0.0,2684.0,23
68.0,7538.0,23
23.0,5467.0,23
4.0,3363.0,23
5.0,3611.0,23
2.0,3029.0,23
1.0,2789.0,23
2.0,3029.0,23
3.0,3260.0,23
35.0,6128.0,23
8.0,4096.0,23
7.0,3903.0,23
22.0,5295.0,23
14.0,4703.0,23
17.0,4858.0,23
18.0,5021.0,23
7.0,3903.0,23
6.0,3752.0,23
9.0,4242.0,23
8.0,4096.0,23
30.0,5823.0,23
31.0,5966.0,23
6.0,3752.0,23
5.0,3611.0,23
47.0,6928.0,23
46.0,6794.0,23
10.0,4370.0,23
9.0,4242.0,23
12.0,4478.0,23
13.0,4604.0,23
54.0,7140.0,23
25.0,5517.0,23
37.0,6278.0,23
15.0,4707.0,23
24.0,5496.0,23
46.0,6794.0,23
45.0,6680.0,23
38.0,6292.0,23
64.0,7477.0,23
49.0,6977.0,23
21.0,5188.0,23
36.0,6235.0,23
22.0,5295.0,23
58.0,7271.0,23
1.0,2789.0,23
3.0,3260.0,23
