V1,V2,set
0.0,9676.0,12
0.0,9676.0,12
48.0,10889.0,12
48.0,10889.0,12
3.0,9856.0,12
2.0,9779.0,12
41.0,10817.0,12
1.0,9738.0,12
3.0,9856.0,12
4.0,9913.0,12
10.0,10157.0,12
11.0,10213.0,12
29.0,10590.0,12
6.0,10008.0,12
5.0,9953.0,12
9.0,10104.0,12
10.0,10157.0,12
44.0,10874.0,12
37.0,10731.0,12
38.0,10777.0,12
13.0,10245.0,12
14.0,10288.0,12
17.0,10370.0,12
16.0,10328.0,12
6.0,10008.0,12
7.0,10050.0,12
1.0,9738.0,12
2.0,9779.0,12
4.0,9913.0,12
5.0,9953.0,12
46.0,10888.0,12
28.0,10586.0,12
27.0,10549.0,12
33.0,10671.0,12
34.0,10706.0,12
19.0,10427.0,12
18.0,10393.0,12
9.0,10104.0,12
8.0,10073.0,12
15.0,10317.0,12
14.0,10288.0,12
46.0,10888.0,12
30.0,10616.0,12
43.0,10848.0,12
31.0,10624.0,12
32.0,10649.0,12
22.0,10489.0,12
21.0,10465.0,12
7.0,10050.0,12
17.0,10370.0,12
18.0,10393.0,12
8.0,10073.0,12
22.0,10489.0,12
33.0,10671.0,12
32.0,10649.0,12
23.0,10511.0,12
20.0,10445.0,12
21.0,10465.0,12
23.0,10511.0,12
40.0,10798.0,12
24.0,10530.0,12
20.0,10445.0,12
19.0,10427.0,12
42.0,10835.0,12
12.0,10229.0,12
12.0,10229.0,12
13.0,10245.0,12
11.0,10213.0,12
26.0,10546.0,12
44.0,10874.0,12
25.0,10532.0,12
42.0,10835.0,12
43.0,10848.0,12
35.0,10707.0,12
39.0,10785.0,12
36.0,10720.0,12
40.0,10798.0,12
36.0,10720.0,12
15.0,10317.0,12
16.0,10328.0,12
37.0,10731.0,12
31.0,10624.0,12
30.0,10616.0,12
39.0,10785.0,12
38.0,10777.0,12
28.0,10586.0,12
27.0,10549.0,12
26.0,10546.0,12
24.0,10530.0,12
25.0,10532.0,12
35.0,10707.0,12
34.0,10706.0,12
3.0,9856.0,12
36.0,10720.0,12
36.0,10720.0,12
22.0,10489.0,12
10.0,10157.0,12
4.0,9913.0,12
25.0,10532.0,12
2.0,9779.0,12
3.0,9856.0,12
14.0,10288.0,12
20.0,10445.0,12
2.0,9779.0,12
4.0,9913.0,12
0.0,9676.0,12
22.0,10489.0,12
8.0,10073.0,12
2.0,9779.0,12
1.0,9738.0,12
35.0,10707.0,12
16.0,10328.0,12
13.0,10245.0,12
9.0,10104.0,12
0.0,9676.0,12
9.0,10104.0,12
2.0,9779.0,12
2.0,9779.0,12
33.0,10671.0,12
9.0,10104.0,12
50.0,10881.0,23
0.0,9655.0,23
0.0,9655.0,23
50.0,10881.0,23
1.0,9775.0,23
7.0,10046.0,23
43.0,10862.0,23
5.0,9959.0,23
6.0,10026.0,23
25.0,10542.0,23
47.0,10880.0,23
9.0,10122.0,23
10.0,10178.0,23
1.0,9775.0,23
2.0,9828.0,23
2.0,9828.0,23
41.0,10811.0,23
3.0,9879.0,23
5.0,9959.0,23
4.0,9909.0,23
8.0,10081.0,23
9.0,10122.0,23
45.0,10864.0,23
15.0,10329.0,23
11.0,10196.0,23
14.0,10289.0,23
12.0,10236.0,23
41.0,10811.0,23
18.0,10392.0,23
19.0,10428.0,23
8.0,10081.0,23
18.0,10392.0,23
17.0,10358.0,23
32.0,10643.0,23
33.0,10676.0,23
4.0,9909.0,23
3.0,9879.0,23
13.0,10261.0,23
24.0,10514.0,23
14.0,10289.0,23
16.0,10330.0,23
17.0,10358.0,23
45.0,10864.0,23
43.0,10862.0,23
35.0,10723.0,23
38.0,10780.0,23
37.0,10754.0,23
34.0,10697.0,23
47.0,10880.0,23
12.0,10236.0,23
27.0,10568.0,23
28.0,10593.0,23
13.0,10261.0,23
19.0,10428.0,23
20.0,10451.0,23
33.0,10676.0,23
23.0,10506.0,23
34.0,10697.0,23
22.0,10485.0,23
20.0,10451.0,23
6.0,10026.0,23
36.0,10743.0,23
21.0,10471.0,23
35.0,10723.0,23
28.0,10593.0,23
29.0,10611.0,23
10.0,10178.0,23
11.0,10196.0,23
38.0,10780.0,23
30.0,10613.0,23
39.0,10797.0,23
31.0,10630.0,23
22.0,10485.0,23
21.0,10471.0,23
31.0,10630.0,23
26.0,10555.0,23
32.0,10643.0,23
26.0,10555.0,23
27.0,10568.0,23
40.0,10798.0,23
37.0,10754.0,23
36.0,10743.0,23
23.0,10506.0,23
24.0,10514.0,23
30.0,10613.0,23
29.0,10611.0,23
16.0,10330.0,23
15.0,10329.0,23
39.0,10797.0,23
40.0,10798.0,23
2.0,9828.0,23
4.0,9909.0,23
29.0,10611.0,23
0.0,9655.0,23
3.0,9879.0,23
1.0,9775.0,23
5.0,9959.0,23
13.0,10261.0,23
1.0,9775.0,23
19.0,10428.0,23
6.0,10026.0,23
35.0,10723.0,23
41.0,10811.0,23
8.0,10081.0,23
20.0,10451.0,23
12.0,10236.0,23
17.0,10358.0,23
4.0,9909.0,23
0.0,9655.0,23
1.0,9775.0,23
15.0,10329.0,23
18.0,10392.0,23
10.0,10178.0,23
0.0,9655.0,23
1.0,9775.0,23
4.0,9909.0,23
14.0,10289.0,23
13.0,10261.0,23
0.0,9655.0,23
1.0,9775.0,23
50.0,10883.0,14
50.0,10883.0,14
0.0,9676.0,14
0.0,9676.0,14
1.0,9775.0,14
39.0,10786.0,14
20.0,10433.0,14
35.0,10721.0,14
9.0,10122.0,14
10.0,10189.0,14
15.0,10357.0,14
6.0,10014.0,14
5.0,9953.0,14
24.0,10521.0,14
23.0,10516.0,14
14.0,10322.0,14
13.0,10267.0,14
1.0,9775.0,14
2.0,9828.0,14
3.0,9876.0,14
2.0,9828.0,14
44.0,10875.0,14
12.0,10262.0,14
11.0,10217.0,14
4.0,9918.0,14
3.0,9876.0,14
8.0,10083.0,14
9.0,10122.0,14
8.0,10083.0,14
7.0,10046.0,14
14.0,10322.0,14
40.0,10821.0,14
4.0,9918.0,14
5.0,9953.0,14
6.0,10014.0,14
7.0,10046.0,14
25.0,10552.0,14
46.0,10881.0,14
21.0,10463.0,14
18.0,10383.0,14
19.0,10413.0,14
22.0,10487.0,14
10.0,10189.0,14
11.0,10217.0,14
31.0,10638.0,14
30.0,10611.0,14
34.0,10694.0,14
33.0,10682.0,14
32.0,10656.0,14
48.0,10882.0,14
48.0,10882.0,14
46.0,10881.0,14
22.0,10487.0,14
27.0,10579.0,14
26.0,10555.0,14
21.0,10463.0,14
43.0,10852.0,14
38.0,10765.0,14
18.0,10383.0,14
17.0,10363.0,14
19.0,10413.0,14
31.0,10638.0,14
36.0,10739.0,14
32.0,10656.0,14
29.0,10602.0,14
28.0,10586.0,14
41.0,10836.0,14
40.0,10821.0,14
36.0,10739.0,14
37.0,10753.0,14
34.0,10694.0,14
38.0,10765.0,14
37.0,10753.0,14
33.0,10682.0,14
42.0,10841.0,14
43.0,10852.0,14
29.0,10602.0,14
30.0,10611.0,14
28.0,10586.0,14
27.0,10579.0,14
44.0,10875.0,14
41.0,10836.0,14
42.0,10841.0,14
13.0,10267.0,14
12.0,10262.0,14
16.0,10361.0,14
25.0,10552.0,14
26.0,10555.0,14
17.0,10363.0,14
16.0,10361.0,14
9.0,10122.0,14
31.0,10638.0,14
27.0,10579.0,14
22.0,10487.0,14
4.0,9918.0,14
36.0,10739.0,14
14.0,10322.0,14
27.0,10579.0,14
46.0,10881.0,14
3.0,9876.0,14
6.0,10014.0,14
5.0,9953.0,14
31.0,10638.0,14
9.0,10122.0,14
6.0,10014.0,14
19.0,10413.0,14
25.0,10552.0,14
0.0,9676.0,14
1.0,9775.0,14
3.0,9876.0,14
46.0,10881.0,14
1.0,9775.0,14
11.0,10217.0,14
1.0,9775.0,14
2.0,9828.0,14
34.0,10694.0,14
28.0,10586.0,14
8.0,10083.0,14
5.0,9953.0,14
3.0,9876.0,14
0.0,9676.0,25
49.0,10905.0,25
49.0,10905.0,25
0.0,9676.0,25
1.0,9775.0,25
10.0,10199.0,25
9.0,10113.0,25
18.0,10376.0,25
40.0,10823.0,25
2.0,9828.0,25
1.0,9775.0,25
14.0,10327.0,25
13.0,10278.0,25
2.0,9828.0,25
3.0,9876.0,25
6.0,10003.0,25
7.0,10050.0,25
5.0,9958.0,25
6.0,10003.0,25
4.0,9913.0,25
5.0,9958.0,25
38.0,10787.0,25
37.0,10748.0,25
45.0,10891.0,25
47.0,10892.0,25
4.0,9913.0,25
3.0,9876.0,25
11.0,10234.0,25
8.0,10085.0,25
7.0,10050.0,25
10.0,10199.0,25
21.0,10465.0,25
20.0,10433.0,25
22.0,10496.0,25
21.0,10465.0,25
33.0,10680.0,25
34.0,10710.0,25
19.0,10403.0,25
20.0,10433.0,25
43.0,10850.0,25
44.0,10878.0,25
31.0,10639.0,25
9.0,10113.0,25
8.0,10085.0,25
32.0,10667.0,25
19.0,10403.0,25
12.0,10252.0,25
13.0,10278.0,25
25.0,10541.0,25
26.0,10566.0,25
30.0,10625.0,25
29.0,10601.0,25
15.0,10328.0,25
27.0,10576.0,25
16.0,10351.0,25
28.0,10599.0,25
39.0,10804.0,25
11.0,10234.0,25
34.0,10710.0,25
12.0,10252.0,25
35.0,10728.0,25
22.0,10496.0,25
23.0,10514.0,25
24.0,10531.0,25
17.0,10359.0,25
38.0,10787.0,25
23.0,10514.0,25
39.0,10804.0,25
30.0,10625.0,25
31.0,10639.0,25
33.0,10680.0,25
36.0,10741.0,25
42.0,10849.0,25
41.0,10836.0,25
44.0,10878.0,25
35.0,10728.0,25
41.0,10836.0,25
32.0,10667.0,25
48.0,10904.0,25
