V1,V2,set
102.0,11526.0,12
102.0,11526.0,12
0.0,7413.0,12
0.0,7413.0,12
90.0,11525.0,12
75.0,11474.0,12
81.0,11521.0,12
81.0,11521.0,12
87.0,11524.0,12
17.0,9004.0,12
2.0,7690.0,12
3.0,7866.0,12
12.0,8605.0,12
56.0,11008.0,12
6.0,8199.0,12
5.0,8040.0,12
66.0,11240.0,12
63.0,11238.0,12
54.0,10962.0,12
15.0,8933.0,12
14.0,8786.0,12
1.0,7553.0,12
2.0,7690.0,12
1.0,7553.0,12
35.0,10214.0,12
34.0,10086.0,12
73.0,11444.0,12
19.0,9172.0,12
7.0,8324.0,12
6.0,8199.0,12
48.0,10810.0,12
62.0,11205.0,12
20.0,9206.0,12
21.0,9325.0,12
47.0,10765.0,12
52.0,10907.0,12
18.0,9120.0,12
24.0,9539.0,12
23.0,9425.0,12
13.0,8718.0,12
5.0,8040.0,12
4.0,7928.0,12
46.0,10733.0,12
37.0,10282.0,12
9.0,8481.0,12
8.0,8371.0,12
67.0,11276.0,12
36.0,10252.0,12
69.0,11339.0,12
70.0,11374.0,12
68.0,11309.0,12
57.0,11043.0,12
53.0,10940.0,12
71.0,11403.0,12
49.0,10846.0,12
59.0,11067.0,12
87.0,11524.0,12
28.0,9762.0,12
29.0,9845.0,12
90.0,11525.0,12
72.0,11428.0,12
40.0,10452.0,12
13.0,8718.0,12
39.0,10384.0,12
14.0,8786.0,12
25.0,9590.0,12
26.0,9655.0,12
58.0,11064.0,12
39.0,10384.0,12
4.0,7928.0,12
38.0,10322.0,12
3.0,7866.0,12
10.0,8542.0,12
9.0,8481.0,12
50.0,10861.0,12
45.0,10694.0,12
44.0,10636.0,12
41.0,10509.0,12
40.0,10452.0,12
28.0,9762.0,12
29.0,9845.0,12
27.0,9708.0,12
30.0,9899.0,12
27.0,9708.0,12
26.0,9655.0,12
31.0,9951.0,12
22.0,9377.0,12
30.0,9899.0,12
21.0,9325.0,12
18.0,9120.0,12
32.0,9990.0,12
33.0,10042.0,12
24.0,9539.0,12
25.0,9590.0,12
41.0,10509.0,12
61.0,11159.0,12
42.0,10559.0,12
60.0,11109.0,12
22.0,9377.0,12
23.0,9425.0,12
8.0,8371.0,12
7.0,8324.0,12
61.0,11159.0,12
34.0,10086.0,12
11.0,8586.0,12
33.0,10042.0,12
10.0,8542.0,12
51.0,10864.0,12
60.0,11109.0,12
38.0,10322.0,12
43.0,10599.0,12
42.0,10559.0,12
31.0,9951.0,12
45.0,10694.0,12
32.0,9990.0,12
35.0,10214.0,12
44.0,10636.0,12
43.0,10599.0,12
15.0,8933.0,12
16.0,8969.0,12
109.0,11528.0,23
0.0,7413.0,23
109.0,11528.0,23
0.0,7413.0,23
92.0,11526.0,23
105.0,11527.0,23
7.0,8305.0,23
6.0,8065.0,23
9.0,8497.0,23
17.0,8983.0,23
37.0,10307.0,23
69.0,11339.0,23
3.0,7732.0,23
4.0,7887.0,23
66.0,11326.0,23
50.0,10845.0,23
1.0,7553.0,23
52.0,10881.0,23
12.0,8722.0,23
11.0,8584.0,23
18.0,9120.0,23
8.0,8361.0,23
71.0,11402.0,23
20.0,9293.0,23
19.0,9159.0,23
44.0,10627.0,23
23.0,9405.0,23
24.0,9536.0,23
49.0,10811.0,23
76.0,11483.0,23
14.0,8884.0,23
13.0,8756.0,23
39.0,10340.0,23
74.0,11448.0,23
10.0,8528.0,23
5.0,7942.0,23
6.0,8065.0,23
22.0,9367.0,23
73.0,11433.0,23
36.0,10186.0,23
48.0,10752.0,23
32.0,9989.0,23
33.0,10017.0,23
62.0,11208.0,23
105.0,11527.0,23
77.0,11501.0,23
60.0,11112.0,23
42.0,10560.0,23
21.0,9321.0,23
16.0,8966.0,23
46.0,10691.0,23
43.0,10566.0,23
58.0,11049.0,23
63.0,11238.0,23
56.0,10992.0,23
45.0,10660.0,23
64.0,11273.0,23
59.0,11086.0,23
70.0,11374.0,23
47.0,10728.0,23
53.0,10909.0,23
2.0,7636.0,23
3.0,7732.0,23
79.0,11520.0,23
57.0,11021.0,23
27.0,9673.0,23
28.0,9767.0,23
65.0,11302.0,23
55.0,10957.0,23
54.0,10940.0,23
40.0,10424.0,23
2.0,7636.0,23
1.0,7553.0,23
86.0,11524.0,23
89.0,11525.0,23
92.0,11526.0,23
89.0,11525.0,23
29.0,9841.0,23
28.0,9767.0,23
35.0,10138.0,23
34.0,10067.0,23
40.0,10424.0,23
41.0,10492.0,23
41.0,10492.0,23
29.0,9841.0,23
30.0,9903.0,23
27.0,9673.0,23
26.0,9612.0,23
8.0,8361.0,23
11.0,8584.0,23
7.0,8305.0,23
4.0,7887.0,23
5.0,7942.0,23
15.0,8912.0,23
31.0,9938.0,23
34.0,10067.0,23
36.0,10186.0,23
35.0,10138.0,23
61.0,11160.0,23
61.0,11160.0,23
19.0,9159.0,23
25.0,9575.0,23
24.0,9536.0,23
18.0,9120.0,23
86.0,11524.0,23
82.0,11522.0,23
82.0,11522.0,23
84.0,11523.0,23
84.0,11523.0,23
80.0,11521.0,23
23.0,9405.0,23
25.0,9575.0,23
26.0,9612.0,23
30.0,9903.0,23
31.0,9938.0,23
12.0,8722.0,23
13.0,8756.0,23
20.0,9293.0,23
15.0,8912.0,23
14.0,8884.0,23
0.0,7413.0,14
107.0,11528.0,14
107.0,11528.0,14
0.0,7413.0,14
91.0,11526.0,14
102.0,11527.0,14
14.0,8796.0,14
15.0,8945.0,14
13.0,8767.0,14
77.0,11502.0,14
2.0,7690.0,14
3.0,7866.0,14
20.0,9215.0,14
35.0,10113.0,14
102.0,11527.0,14
5.0,8040.0,14
6.0,8194.0,14
57.0,11023.0,14
55.0,10959.0,14
1.0,7553.0,14
2.0,7690.0,14
1.0,7553.0,14
44.0,10628.0,14
8.0,8365.0,14
9.0,8500.0,14
10.0,8534.0,14
23.0,9425.0,14
24.0,9460.0,14
25.0,9588.0,14
12.0,8640.0,14
60.0,11142.0,14
19.0,9193.0,14
32.0,9979.0,14
31.0,9949.0,14
64.0,11207.0,14
17.0,9008.0,14
18.0,9128.0,14
43.0,10561.0,14
68.0,11320.0,14
87.0,11524.0,14
88.0,11525.0,14
81.0,11522.0,14
34.0,10088.0,14
51.0,10862.0,14
5.0,8040.0,14
4.0,7928.0,14
6.0,8194.0,14
7.0,8305.0,14
50.0,10827.0,14
52.0,10902.0,14
76.0,11484.0,14
46.0,10691.0,14
62.0,11193.0,14
58.0,11036.0,14
21.0,9318.0,14
45.0,10659.0,14
48.0,10767.0,14
74.0,11471.0,14
49.0,10791.0,14
70.0,11367.0,14
65.0,11237.0,14
81.0,11522.0,14
42.0,10547.0,14
67.0,11270.0,14
36.0,10205.0,14
41.0,10505.0,14
28.0,9734.0,14
40.0,10415.0,14
29.0,9824.0,14
61.0,11177.0,14
69.0,11351.0,14
53.0,10932.0,14
71.0,11411.0,14
84.0,11523.0,14
91.0,11526.0,14
84.0,11523.0,14
66.0,11266.0,14
30.0,9892.0,14
29.0,9824.0,14
39.0,10379.0,14
38.0,10313.0,14
37.0,10247.0,14
38.0,10313.0,14
54.0,10948.0,14
18.0,9128.0,14
25.0,9588.0,14
26.0,9652.0,14
4.0,7928.0,14
3.0,7866.0,14
8.0,8365.0,14
7.0,8305.0,14
11.0,8592.0,14
30.0,9892.0,14
33.0,10036.0,14
22.0,9370.0,14
59.0,11089.0,14
59.0,11089.0,14
33.0,10036.0,14
21.0,9318.0,14
22.0,9370.0,14
73.0,11460.0,14
73.0,11460.0,14
71.0,11411.0,14
12.0,8640.0,14
11.0,8592.0,14
27.0,9696.0,14
26.0,9652.0,14
36.0,10205.0,14
37.0,10247.0,14
41.0,10505.0,14
47.0,10728.0,14
28.0,9734.0,14
27.0,9696.0,14
47.0,10728.0,14
39.0,10379.0,14
40.0,10415.0,14
17.0,9008.0,14
24.0,9460.0,14
16.0,8973.0,14
9.0,8500.0,14
95.0,11527.0,25
0.0,7413.0,25
0.0,7413.0,25
95.0,11527.0,25
81.0,11493.0,25
76.0,11487.0,25
12.0,8736.0,25
15.0,8939.0,25
69.0,11354.0,25
23.0,9430.0,25
3.0,7868.0,25
2.0,7690.0,25
71.0,11412.0,25
36.0,10260.0,25
5.0,8039.0,25
6.0,8199.0,25
25.0,9601.0,25
11.0,8592.0,25
54.0,10950.0,25
17.0,9011.0,25
18.0,9154.0,25
52.0,10928.0,25
1.0,7553.0,25
43.0,10636.0,25
1.0,7553.0,25
2.0,7690.0,25
30.0,9930.0,25
