V1,V2,set,DM_range
20.0,9184.0,0,10to20
20.0,9190.0,1,10to20
17.0,8759.0,2,10to20
19.0,9099.0,3,10to20
20.0,9106.0,4,10to20
20.0,9116.0,5,10to20
20.0,9263.0,6,10to20
20.0,8968.0,7,10to20
20.0,9153.0,8,10to20
20.0,9132.0,9,10to20
13.0,8231.0,10,10to20
20.0,8938.0,11,10to20
19.0,9125.0,12,10to20
20.0,9127.0,13,10to20
20.0,9087.0,14,10to20
20.0,9219.0,15,10to20
20.0,9170.0,16,10to20
20.0,9218.0,17,10to20
20.0,9168.0,18,10to20
20.0,9147.0,19,10to20
18.0,8914.0,20,10to20
20.0,9021.0,21,10to20
20.0,9171.0,22,10to20
10.0,7936.0,23,10to20
20.0,9139.0,24,10to20
20.0,9192.0,25,10to20
18.0,8911.0,26,10to20
20.0,8900.0,27,10to20
20.0,9159.0,28,10to20
14.0,8456.0,29,10to20
30.0,10255.0,0,20to30
30.0,9698.0,1,20to30
30.0,10146.0,2,20to30
28.0,9821.0,3,20to30
30.0,10214.0,4,20to30
30.0,10141.0,5,20to30
30.0,10223.0,6,20to30
30.0,10317.0,7,20to30
22.0,9355.0,8,20to30
30.0,10288.0,9,20to30
29.0,10227.0,10,20to30
30.0,10338.0,11,20to30
30.0,10210.0,12,20to30
29.0,9935.0,13,20to30
30.0,10320.0,14,20to30
24.0,9692.0,15,20to30
30.0,10002.0,16,20to30
30.0,9986.0,17,20to30
30.0,10246.0,18,20to30
30.0,10306.0,19,20to30
30.0,10151.0,20,20to30
30.0,10181.0,21,20to30
30.0,10249.0,22,20to30
30.0,9932.0,23,20to30
30.0,10277.0,24,20to30
30.0,10114.0,25,20to30
30.0,9829.0,26,20to30
30.0,10195.0,27,20to30
29.0,9666.0,28,20to30
13.0,7763.0,29,20to30
40.0,10671.0,0,30to40
40.0,10775.0,1,30to40
40.0,10705.0,2,30to40
39.0,10553.0,3,30to40
40.0,10481.0,4,30to40
31.0,10290.0,5,30to40
23.0,9578.0,6,30to40
40.0,10676.0,7,30to40
38.0,10713.0,8,30to40
40.0,10741.0,9,30to40
35.0,10548.0,10,30to40
39.0,10915.0,11,30to40
40.0,10702.0,12,30to40
39.0,10831.0,13,30to40
40.0,10685.0,14,30to40
40.0,10602.0,15,30to40
40.0,10783.0,16,30to40
27.0,9774.0,17,30to40
40.0,10744.0,18,30to40
40.0,10647.0,19,30to40
40.0,10651.0,20,30to40
37.0,10027.0,21,30to40
24.0,9357.0,22,30to40
39.0,10465.0,23,30to40
30.0,10151.0,24,30to40
40.0,10673.0,25,30to40
38.0,10330.0,26,30to40
40.0,10798.0,27,30to40
39.0,10500.0,28,30to40
40.0,10781.0,29,30to40
20.0,9184.0,0,10to20
20.0,9190.0,1,10to20
17.0,8759.0,2,10to20
19.0,9099.0,3,10to20
20.0,9106.0,4,10to20
20.0,9116.0,5,10to20
20.0,9263.0,6,10to20
20.0,8968.0,7,10to20
20.0,9153.0,8,10to20
20.0,9132.0,9,10to20
13.0,8231.0,10,10to20
20.0,8938.0,11,10to20
19.0,9125.0,12,10to20
20.0,9127.0,13,10to20
20.0,9087.0,14,10to20
20.0,9219.0,15,10to20
20.0,9170.0,16,10to20
20.0,9218.0,17,10to20
20.0,9168.0,18,10to20
20.0,9147.0,19,10to20
18.0,8914.0,20,10to20
20.0,9021.0,21,10to20
20.0,9171.0,22,10to20
10.0,7936.0,23,10to20
20.0,9139.0,24,10to20
20.0,9192.0,25,10to20
18.0,8911.0,26,10to20
20.0,8900.0,27,10to20
20.0,9159.0,28,10to20
14.0,8456.0,29,10to20
30.0,10255.0,0,20to30
30.0,9698.0,1,20to30
30.0,10146.0,2,20to30
28.0,9821.0,3,20to30
30.0,10214.0,4,20to30
30.0,10141.0,5,20to30
30.0,10223.0,6,20to30
30.0,10317.0,7,20to30
22.0,9355.0,8,20to30
30.0,10288.0,9,20to30
29.0,10227.0,10,20to30
30.0,10338.0,11,20to30
30.0,10210.0,12,20to30
29.0,9935.0,13,20to30
30.0,10320.0,14,20to30
24.0,9692.0,15,20to30
30.0,10002.0,16,20to30
30.0,9986.0,17,20to30
30.0,10246.0,18,20to30
30.0,10306.0,19,20to30
30.0,10151.0,20,20to30
30.0,10181.0,21,20to30
30.0,10249.0,22,20to30
30.0,9932.0,23,20to30
30.0,10277.0,24,20to30
30.0,10114.0,25,20to30
30.0,9829.0,26,20to30
30.0,10195.0,27,20to30
29.0,9666.0,28,20to30
13.0,7763.0,29,20to30
40.0,10671.0,0,30to40
40.0,10775.0,1,30to40
40.0,10705.0,2,30to40
39.0,10553.0,3,30to40
40.0,10481.0,4,30to40
31.0,10290.0,5,30to40
23.0,9578.0,6,30to40
40.0,10676.0,7,30to40
38.0,10713.0,8,30to40
40.0,10741.0,9,30to40
35.0,10548.0,10,30to40
39.0,10915.0,11,30to40
40.0,10702.0,12,30to40
39.0,10831.0,13,30to40
40.0,10685.0,14,30to40
40.0,10602.0,15,30to40
40.0,10783.0,16,30to40
27.0,9774.0,17,30to40
40.0,10744.0,18,30to40
40.0,10647.0,19,30to40
40.0,10651.0,20,30to40
37.0,10027.0,21,30to40
24.0,9357.0,22,30to40
39.0,10465.0,23,30to40
30.0,10151.0,24,30to40
40.0,10673.0,25,30to40
38.0,10330.0,26,30to40
40.0,10798.0,27,30to40
39.0,10500.0,28,30to40
40.0,10781.0,29,30to40
20.0,9184.0,0,10to20
20.0,9190.0,1,10to20
17.0,8759.0,2,10to20
19.0,9099.0,3,10to20
20.0,9106.0,4,10to20
20.0,9116.0,5,10to20
20.0,9263.0,6,10to20
20.0,8968.0,7,10to20
20.0,9153.0,8,10to20
20.0,9132.0,9,10to20
13.0,8231.0,10,10to20
20.0,8938.0,11,10to20
19.0,9125.0,12,10to20
20.0,9127.0,13,10to20
20.0,9087.0,14,10to20
20.0,9219.0,15,10to20
20.0,9170.0,16,10to20
20.0,9218.0,17,10to20
20.0,9168.0,18,10to20
20.0,9147.0,19,10to20
18.0,8914.0,20,10to20
20.0,9021.0,21,10to20
20.0,9171.0,22,10to20
10.0,7936.0,23,10to20
20.0,9139.0,24,10to20
20.0,9192.0,25,10to20
18.0,8911.0,26,10to20
20.0,8900.0,27,10to20
20.0,9159.0,28,10to20
14.0,8456.0,29,10to20
30.0,10255.0,0,20to30
30.0,9698.0,1,20to30
30.0,10146.0,2,20to30
28.0,9821.0,3,20to30
30.0,10214.0,4,20to30
30.0,10141.0,5,20to30
30.0,10223.0,6,20to30
30.0,10317.0,7,20to30
22.0,9355.0,8,20to30
30.0,10288.0,9,20to30
29.0,10227.0,10,20to30
30.0,10338.0,11,20to30
30.0,10210.0,12,20to30
29.0,9935.0,13,20to30
30.0,10320.0,14,20to30
24.0,9692.0,15,20to30
30.0,10002.0,16,20to30
30.0,9986.0,17,20to30
30.0,10246.0,18,20to30
30.0,10306.0,19,20to30
30.0,10151.0,20,20to30
30.0,10181.0,21,20to30
30.0,10249.0,22,20to30
30.0,9932.0,23,20to30
30.0,10277.0,24,20to30
30.0,10114.0,25,20to30
30.0,9829.0,26,20to30
30.0,10195.0,27,20to30
29.0,9666.0,28,20to30
13.0,7763.0,29,20to30
40.0,10671.0,0,30to40
40.0,10775.0,1,30to40
40.0,10705.0,2,30to40
39.0,10553.0,3,30to40
40.0,10481.0,4,30to40
31.0,10290.0,5,30to40
23.0,9578.0,6,30to40
40.0,10676.0,7,30to40
38.0,10713.0,8,30to40
40.0,10741.0,9,30to40
35.0,10548.0,10,30to40
39.0,10915.0,11,30to40
40.0,10702.0,12,30to40
39.0,10831.0,13,30to40
40.0,10685.0,14,30to40
40.0,10602.0,15,30to40
40.0,10783.0,16,30to40
27.0,9774.0,17,30to40
40.0,10744.0,18,30to40
40.0,10647.0,19,30to40
40.0,10651.0,20,30to40
37.0,10027.0,21,30to40
24.0,9357.0,22,30to40
39.0,10465.0,23,30to40
30.0,10151.0,24,30to40
40.0,10673.0,25,30to40
38.0,10330.0,26,30to40
40.0,10798.0,27,30to40
39.0,10500.0,28,30to40
40.0,10781.0,29,30to40
20.0,9184.0,0,10to20
20.0,9190.0,1,10to20
17.0,8759.0,2,10to20
19.0,9099.0,3,10to20
20.0,9106.0,4,10to20
20.0,9116.0,5,10to20
20.0,9263.0,6,10to20
20.0,8968.0,7,10to20
20.0,9153.0,8,10to20
20.0,9132.0,9,10to20
13.0,8231.0,10,10to20
20.0,8938.0,11,10to20
19.0,9125.0,12,10to20
20.0,9127.0,13,10to20
20.0,9087.0,14,10to20
20.0,9219.0,15,10to20
20.0,9170.0,16,10to20
20.0,9218.0,17,10to20
20.0,9168.0,18,10to20
20.0,9147.0,19,10to20
18.0,8914.0,20,10to20
20.0,9021.0,21,10to20
20.0,9171.0,22,10to20
10.0,7936.0,23,10to20
20.0,9139.0,24,10to20
20.0,9192.0,25,10to20
18.0,8911.0,26,10to20
20.0,8900.0,27,10to20
20.0,9159.0,28,10to20
14.0,8456.0,29,10to20
30.0,10255.0,0,20to30
30.0,9698.0,1,20to30
30.0,10146.0,2,20to30
28.0,9821.0,3,20to30
30.0,10214.0,4,20to30
30.0,10141.0,5,20to30
30.0,10223.0,6,20to30
30.0,10317.0,7,20to30
22.0,9355.0,8,20to30
30.0,10288.0,9,20to30
29.0,10227.0,10,20to30
30.0,10338.0,11,20to30
30.0,10210.0,12,20to30
29.0,9935.0,13,20to30
30.0,10320.0,14,20to30
24.0,9692.0,15,20to30
30.0,10002.0,16,20to30
30.0,9986.0,17,20to30
30.0,10246.0,18,20to30
30.0,10306.0,19,20to30
30.0,10151.0,20,20to30
30.0,10181.0,21,20to30
