V1,V2,set,DM_range
9.0,10099.0,0,10to20
20.0,10638.0,1,10to20
20.0,10638.0,2,10to20
20.0,10641.0,3,10to20
20.0,10632.0,4,10to20
20.0,10640.0,5,10to20
12.0,10207.0,6,10to20
20.0,10616.0,7,10to20
20.0,10621.0,8,10to20
20.0,10640.0,9,10to20
20.0,10636.0,10,10to20
20.0,10624.0,11,10to20
20.0,10642.0,12,10to20
20.0,10637.0,13,10to20
20.0,10615.0,14,10to20
13.0,10247.0,15,10to20
20.0,10628.0,16,10to20
20.0,10636.0,17,10to20
20.0,10616.0,18,10to20
20.0,10641.0,19,10to20
20.0,10638.0,20,10to20
20.0,10620.0,21,10to20
20.0,10641.0,22,10to20
20.0,10641.0,23,10to20
20.0,10612.0,24,10to20
20.0,10623.0,25,10to20
20.0,10637.0,26,10to20
20.0,10629.0,27,10to20
20.0,10619.0,28,10to20
20.0,10597.0,29,10to20
30.0,10981.0,0,20to30
30.0,10974.0,1,20to30
30.0,10979.0,2,20to30
30.0,10971.0,3,20to30
26.0,10848.0,4,20to30
30.0,10982.0,5,20to30
30.0,10986.0,6,20to30
30.0,10953.0,7,20to30
30.0,10977.0,8,20to30
30.0,10977.0,9,20to30
30.0,10955.0,10,20to30
30.0,10981.0,11,20to30
30.0,10938.0,12,20to30
30.0,10980.0,13,20to30
30.0,10984.0,14,20to30
30.0,10974.0,15,20to30
30.0,10958.0,16,20to30
30.0,10978.0,17,20to30
30.0,10978.0,18,20to30
30.0,10971.0,19,20to30
30.0,10953.0,20,20to30
30.0,10975.0,21,20to30
26.0,10832.0,22,20to30
30.0,10951.0,23,20to30
28.0,10905.0,24,20to30
30.0,10980.0,25,20to30
30.0,10948.0,26,20to30
30.0,10952.0,27,20to30
30.0,10936.0,28,20to30
30.0,10916.0,29,20to30
40.0,11188.0,0,30to40
40.0,11174.0,1,30to40
33.0,11117.0,2,30to40
39.0,11174.0,3,30to40
34.0,11075.0,4,30to40
40.0,11192.0,5,30to40
40.0,11189.0,6,30to40
32.0,11119.0,7,30to40
40.0,11174.0,8,30to40
40.0,11115.0,9,30to40
40.0,11172.0,10,30to40
40.0,11193.0,11,30to40
40.0,11195.0,12,30to40
40.0,11117.0,13,30to40
37.0,11106.0,14,30to40
40.0,11193.0,15,30to40
40.0,11192.0,16,30to40
40.0,11115.0,17,30to40
40.0,11181.0,18,30to40
40.0,11174.0,19,30to40
40.0,11168.0,20,30to40
40.0,11193.0,21,30to40
38.0,11166.0,22,30to40
32.0,11111.0,23,30to40
34.0,11087.0,24,30to40
40.0,11194.0,25,30to40
