V1,V2,set
0.0,5621.0,12
35.0,8469.0,12
35.0,8469.0,12
0.0,5621.0,12
18.0,8338.0,12
26.0,8381.0,12
28.0,8425.0,12
1.0,5963.0,12
2.0,6386.0,12
3.0,6692.0,12
4.0,7067.0,12
1.0,5963.0,12
3.0,6692.0,12
2.0,6386.0,12
14.0,8212.0,12
5.0,7278.0,12
6.0,7539.0,12
17.0,8263.0,12
4.0,7067.0,12
5.0,7278.0,12
13.0,8092.0,12
9.0,7841.0,12
8.0,7678.0,12
9.0,7841.0,12
10.0,7996.0,12
28.0,8425.0,12
26.0,8381.0,12
11.0,8037.0,12
6.0,7539.0,12
7.0,7611.0,12
8.0,7678.0,12
7.0,7611.0,12
13.0,8092.0,12
11.0,8037.0,12
14.0,8212.0,12
17.0,8263.0,12
18.0,8338.0,12
10.0,7996.0,12
10.0,7996.0,12
0.0,5621.0,12
2.0,6386.0,12
7.0,7611.0,12
7.0,7611.0,12
4.0,7067.0,12
0.0,5621.0,12
1.0,5963.0,12
4.0,7067.0,12
0.0,5621.0,12
10.0,7996.0,12
9.0,7841.0,12
1.0,5963.0,12
6.0,7539.0,12
0.0,5621.0,12
10.0,7996.0,12
1.0,5963.0,12
3.0,6692.0,12
1.0,5963.0,12
7.0,7611.0,12
1.0,5963.0,12
3.0,6692.0,12
5.0,7278.0,12
6.0,7539.0,12
5.0,7278.0,12
11.0,8037.0,12
26.0,8381.0,12
8.0,7678.0,12
5.0,7278.0,12
3.0,6692.0,12
1.0,5963.0,12
6.0,7539.0,12
3.0,6692.0,12
3.0,6692.0,12
6.0,7539.0,12
5.0,7278.0,12
1.0,5963.0,12
9.0,7841.0,12
6.0,7539.0,12
6.0,7539.0,12
4.0,7067.0,12
5.0,7278.0,12
1.0,5963.0,12
9.0,7841.0,12
0.0,5621.0,12
6.0,7539.0,12
6.0,7539.0,12
10.0,7996.0,12
18.0,8338.0,12
0.0,5621.0,12
2.0,6386.0,12
6.0,7539.0,12
6.0,7539.0,12
11.0,8037.0,12
0.0,5621.0,12
1.0,5963.0,12
3.0,6692.0,12
10.0,7996.0,12
9.0,7841.0,12
3.0,6692.0,12
2.0,6386.0,12
1.0,5963.0,12
8.0,7678.0,12
2.0,6386.0,12
9.0,7841.0,12
5.0,7278.0,12
1.0,5963.0,12
3.0,6692.0,12
1.0,5963.0,12
5.0,7278.0,12
6.0,7539.0,12
1.0,5963.0,12
14.0,8212.0,12
5.0,7278.0,12
6.0,7539.0,12
2.0,6386.0,12
3.0,6692.0,12
2.0,6386.0,12
4.0,7067.0,12
0.0,5621.0,12
5.0,7278.0,12
14.0,8212.0,12
27.0,8540.0,23
0.0,5621.0,23
0.0,5621.0,23
1.0,6116.0,23
2.0,6434.0,23
3.0,6871.0,23
20.0,8297.0,23
2.0,6434.0,23
1.0,6116.0,23
5.0,7434.0,23
4.0,7119.0,23
24.0,8419.0,23
4.0,7119.0,23
3.0,6871.0,23
17.0,8289.0,23
22.0,8409.0,23
15.0,8203.0,23
10.0,7984.0,23
9.0,7821.0,23
6.0,7588.0,23
5.0,7434.0,23
13.0,8117.0,23
22.0,8409.0,23
20.0,8297.0,23
8.0,7709.0,23
9.0,7821.0,23
15.0,8203.0,23
25.0,8505.0,23
13.0,8117.0,23
10.0,7984.0,23
11.0,8056.0,23
16.0,8274.0,23
7.0,7652.0,23
6.0,7588.0,23
8.0,7709.0,23
7.0,7652.0,23
12.0,8094.0,23
11.0,8056.0,23
12.0,8094.0,23
26.0,8520.0,23
26.0,8520.0,23
16.0,8274.0,23
25.0,8505.0,23
17.0,8289.0,23
5.0,7434.0,23
1.0,6116.0,23
13.0,8117.0,23
13.0,8117.0,23
20.0,8297.0,23
2.0,6434.0,23
7.0,7652.0,23
11.0,8056.0,23
