V1,V2,set
0.0,5034.0,12
84.0,12571.0,12
0.0,5034.0,12
31.0,11960.0,12
36.0,12022.0,12
2.0,5882.0,12
1.0,5316.0,12
8.0,8028.0,12
7.0,7499.0,12
6.0,7089.0,12
5.0,6610.0,12
10.0,8687.0,12
9.0,8253.0,12
7.0,7499.0,12
6.0,7089.0,12
69.0,12525.0,12
48.0,12299.0,12
20.0,10861.0,12
19.0,10486.0,12
53.0,12341.0,12
74.0,12535.0,12
37.0,12097.0,12
64.0,12468.0,12
41.0,12147.0,12
1.0,5316.0,12
18.0,10212.0,12
19.0,10486.0,12
75.0,12536.0,12
80.0,12562.0,12
3.0,6143.0,12
2.0,5882.0,12
3.0,6143.0,12
4.0,6402.0,12
12.0,9090.0,12
13.0,9344.0,12
16.0,9830.0,12
15.0,9591.0,12
17.0,9980.0,12
18.0,10212.0,12
12.0,9090.0,12
23.0,11330.0,12
22.0,11099.0,12
11.0,8859.0,12
8.0,8028.0,12
9.0,8253.0,12
4.0,6402.0,12
5.0,6610.0,12
78.0,12537.0,12
10.0,8687.0,12
11.0,8859.0,12
14.0,9509.0,12
13.0,9344.0,12
17.0,9980.0,12
16.0,9830.0,12
46.0,12268.0,12
41.0,12147.0,12
62.0,12418.0,12
21.0,10999.0,12
20.0,10861.0,12
48.0,12299.0,12
30.0,11855.0,12
29.0,11746.0,12
30.0,11855.0,12
59.0,12406.0,12
21.0,10999.0,12
22.0,11099.0,12
69.0,12525.0,12
60.0,12416.0,12
44.0,12212.0,12
25.0,11468.0,12
27.0,11562.0,12
28.0,11659.0,12
24.0,11371.0,12
43.0,12205.0,12
58.0,12405.0,12
66.0,12479.0,12
67.0,12486.0,12
62.0,12418.0,12
29.0,11746.0,12
28.0,11659.0,12
14.0,9509.0,12
15.0,9591.0,12
25.0,11468.0,12
26.0,11536.0,12
43.0,12205.0,12
45.0,12213.0,12
37.0,12097.0,12
53.0,12341.0,12
56.0,12392.0,12
23.0,11330.0,12
55.0,12351.0,12
24.0,11371.0,12
67.0,12486.0,12
46.0,12268.0,12
26.0,11536.0,12
27.0,11562.0,12
79.0,12561.0,12
66.0,12479.0,12
74.0,12535.0,12
80.0,12562.0,12
57.0,12399.0,12
56.0,12392.0,12
57.0,12399.0,12
55.0,12351.0,12
54.0,12345.0,12
54.0,12345.0,12
60.0,12416.0,12
45.0,12213.0,12
79.0,12561.0,12
78.0,12537.0,12
0.0,5034.0,12
28.0,11659.0,12
8.0,8028.0,12
4.0,6402.0,12
62.0,12418.0,12
25.0,11468.0,12
20.0,10861.0,12
22.0,11099.0,12
10.0,8687.0,12
8.0,8028.0,12
0.0,5034.0,23
0.0,5034.0,23
70.0,12596.0,23
9.0,8532.0,23
1.0,5316.0,23
2.0,5882.0,23
5.0,6868.0,23
6.0,7407.0,23
17.0,10359.0,23
18.0,10809.0,23
16.0,9917.0,23
17.0,10359.0,23
10.0,8952.0,23
13.0,9637.0,23
12.0,9218.0,23
6.0,7407.0,23
7.0,7812.0,23
5.0,6868.0,23
7.0,7812.0,23
4.0,6474.0,23
8.0,8206.0,23
3.0,6143.0,23
4.0,6474.0,23
8.0,8206.0,23
1.0,5316.0,23
69.0,12544.0,23
3.0,6143.0,23
2.0,5882.0,23
59.0,12520.0,23
21.0,10910.0,23
22.0,11142.0,23
23.0,11369.0,23
22.0,11142.0,23
12.0,9218.0,23
11.0,8994.0,23
67.0,12543.0,23
62.0,12537.0,23
28.0,11625.0,23
25.0,11498.0,23
40.0,11990.0,23
36.0,11961.0,23
14.0,9792.0,23
13.0,9637.0,23
20.0,10883.0,23
58.0,12490.0,23
56.0,12460.0,23
38.0,11986.0,23
65.0,12541.0,23
64.0,12539.0,23
