V1,V2,set
113.0,8720.0,12
0.0,2945.0,12
0.0,2945.0,12
113.0,8720.0,12
101.0,8392.0,12
4.0,3491.0,12
44.0,5806.0,12
92.0,8091.0,12
47.0,5936.0,12
51.0,6190.0,12
70.0,7091.0,12
45.0,5883.0,12
72.0,7153.0,12
80.0,7499.0,12
53.0,6237.0,12
26.0,4788.0,12
6.0,3593.0,12
69.0,7012.0,12
58.0,6441.0,12
90.0,7904.0,12
7.0,3684.0,12
39.0,5514.0,12
41.0,5636.0,12
59.0,6535.0,12
48.0,6032.0,12
22.0,4527.0,12
27.0,4859.0,12
30.0,5021.0,12
25.0,4690.0,12
37.0,5403.0,12
50.0,6096.0,12
40.0,5601.0,12
104.0,8479.0,12
82.0,7567.0,12
61.0,6647.0,12
33.0,5184.0,12
83.0,7569.0,12
1.0,3111.0,12
8.0,3732.0,12
9.0,3798.0,12
3.0,3327.0,12
60.0,6572.0,12
38.0,5466.0,12
12.0,3948.0,12
68.0,6940.0,12
66.0,6865.0,12
35.0,5302.0,12
85.0,7757.0,12
29.0,4961.0,12
18.0,4324.0,12
65.0,6794.0,12
11.0,3916.0,12
28.0,4916.0,12
5.0,3530.0,12
36.0,5342.0,12
32.0,5115.0,12
54.0,6309.0,12
42.0,5732.0,12
17.0,4292.0,12
57.0,6386.0,12
16.0,4229.0,12
31.0,5086.0,12
24.0,4664.0,12
75.0,7351.0,12
104.0,8479.0,12
89.0,7874.0,12
95.0,8204.0,12
79.0,7447.0,12
67.0,6902.0,12
96.0,8244.0,12
63.0,6726.0,12
3.0,3327.0,12
2.0,3207.0,12
64.0,6761.0,12
84.0,7686.0,12
21.0,4469.0,12
98.0,8307.0,12
99.0,8338.0,12
49.0,6066.0,12
97.0,8274.0,12
108.0,8608.0,12
88.0,7817.0,12
91.0,8015.0,12
107.0,8578.0,12
111.0,8675.0,12
109.0,8640.0,12
100.0,8371.0,12
56.0,6346.0,12
112.0,8719.0,12
1.0,3111.0,12
2.0,3207.0,12
13.0,4027.0,12
14.0,4119.0,12
77.0,7420.0,12
94.0,8165.0,12
55.0,6334.0,12
110.0,8663.0,12
106.0,8549.0,12
13.0,4027.0,12
78.0,7421.0,12
14.0,4119.0,12
15.0,4197.0,12
87.0,7814.0,12
73.0,7213.0,12
74.0,7290.0,12
91.0,8015.0,12
94.0,8165.0,12
42.0,5732.0,12
19.0,4397.0,12
84.0,7686.0,12
23.0,4598.0,12
106.0,8549.0,12
10.0,3846.0,12
34.0,5234.0,12
23.0,4598.0,12
19.0,4397.0,12
20.0,4463.0,12
74.0,7290.0,12
73.0,7213.0,12
34.0,5234.0,12
113.0,8720.0,23
0.0,2946.0,23
113.0,8720.0,23
0.0,2946.0,23
35.0,5321.0,23
37.0,5438.0,23
90.0,7936.0,23
47.0,5966.0,23
78.0,7496.0,23
4.0,3492.0,23
91.0,8080.0,23
69.0,7002.0,23
