V1,V2,set
0.0,2471.0,12
166.0,10573.0,12
166.0,10573.0,12
0.0,2471.0,12
64.0,6668.0,12
23.0,4285.0,12
4.0,3110.0,12
80.0,7271.0,12
30.0,4654.0,12
34.0,4769.0,12
77.0,7189.0,12
161.0,10451.0,12
81.0,7412.0,12
46.0,5559.0,12
163.0,10505.0,12
21.0,4101.0,12
87.0,7611.0,12
19.0,3947.0,12
1.0,2775.0,12
104.0,8404.0,12
16.0,3716.0,12
62.0,6479.0,12
127.0,9288.0,12
109.0,8544.0,12
123.0,9117.0,12
57.0,6242.0,12
68.0,6793.0,12
13.0,3569.0,12
67.0,6699.0,12
43.0,5372.0,12
99.0,8200.0,12
37.0,4965.0,12
84.0,7549.0,12
152.0,10174.0,12
9.0,3307.0,12
59.0,6282.0,12
88.0,7715.0,12
74.0,7050.0,12
158.0,10367.0,12
130.0,9388.0,12
145.0,9971.0,12
143.0,9914.0,12
102.0,8257.0,12
51.0,5903.0,12
15.0,3602.0,12
25.0,4358.0,12
73.0,6909.0,12
60.0,6400.0,12
83.0,7499.0,12
150.0,10122.0,12
107.0,8491.0,12
139.0,9747.0,12
125.0,9178.0,12
10.0,3416.0,12
2.0,2894.0,12
147.0,10019.0,12
40.0,5092.0,12
41.0,5255.0,12
154.0,10232.0,12
137.0,9697.0,12
136.0,9633.0,12
155.0,10288.0,12
56.0,6106.0,12
36.0,4920.0,12
90.0,7769.0,12
20.0,4066.0,12
122.0,8993.0,12
121.0,8965.0,12
148.0,10089.0,12
35.0,4810.0,12
111.0,8638.0,12
114.0,8731.0,12
112.0,8641.0,12
28.0,4548.0,12
17.0,3855.0,12
141.0,9869.0,12
105.0,8462.0,12
91.0,7821.0,12
134.0,9584.0,12
119.0,8890.0,12
45.0,5496.0,12
70.0,6873.0,12
157.0,10342.0,12
98.0,8084.0,12
7.0,3258.0,12
44.0,5428.0,12
76.0,7067.0,12
140.0,9827.0,12
25.0,4358.0,12
5.0,3171.0,12
2.0,2894.0,12
133.0,9547.0,12
52.0,5953.0,12
92.0,7904.0,12
126.0,9240.0,12
48.0,5716.0,12
117.0,8823.0,12
29.0,4605.0,12
101.0,8255.0,12
28.0,4548.0,12
53.0,6016.0,12
116.0,8774.0,12
95.0,7995.0,12
49.0,5804.0,12
48.0,5716.0,12
6.0,3231.0,12
96.0,8054.0,12
61.0,6468.0,12
131.0,9395.0,12
39.0,5090.0,12
1.0,2775.0,12
54.0,6046.0,12
41.0,5255.0,12
118.0,8882.0,12
94.0,7965.0,12
11.0,3477.0,12
93.0,7933.0,12
55.0,6086.0,12
49.0,5804.0,12
17.0,3855.0,12
