V1,V2,set
111.0,9260.0,12
0.0,6505.0,12
0.0,6505.0,12
105.0,9259.0,12
4.0,6955.0,12
3.0,6811.0,12
1.0,6648.0,12
12.0,7480.0,12
42.0,8541.0,12
34.0,8236.0,12
25.0,7964.0,12
29.0,8057.0,12
40.0,8489.0,12
23.0,7836.0,12
58.0,8928.0,12
64.0,9032.0,12
4.0,6955.0,12
5.0,7051.0,12
50.0,8792.0,12
5.0,7051.0,12
6.0,7146.0,12
2.0,6717.0,12
3.0,6811.0,12
16.0,7616.0,12
11.0,7450.0,12
10.0,7358.0,12
21.0,7774.0,12
22.0,7821.0,12
30.0,8119.0,12
20.0,7756.0,12
14.0,7583.0,12
101.0,9257.0,12
17.0,7669.0,12
57.0,8915.0,12
26.0,7992.0,12
82.0,9131.0,12
9.0,7327.0,12
8.0,7250.0,12
41.0,8514.0,12
56.0,8875.0,12
103.0,9258.0,12
47.0,8684.0,12
44.0,8645.0,12
62.0,8986.0,12
63.0,8994.0,12
87.0,9170.0,12
1.0,6648.0,12
2.0,6717.0,12
32.0,8135.0,12
60.0,8971.0,12
88.0,9211.0,12
19.0,7714.0,12
43.0,8607.0,12
24.0,7902.0,12
68.0,9052.0,12
26.0,7992.0,12
29.0,8057.0,12
66.0,9041.0,12
92.0,9226.0,12
7.0,7187.0,12
13.0,7543.0,12
8.0,7250.0,12
72.0,9069.0,12
90.0,9216.0,12
24.0,7902.0,12
39.0,8430.0,12
36.0,8301.0,12
37.0,8360.0,12
80.0,9119.0,12
15.0,7601.0,12
33.0,8179.0,12
99.0,9254.0,12
46.0,8663.0,12
49.0,8743.0,12
76.0,9093.0,12
77.0,9111.0,12
84.0,9154.0,12
51.0,8814.0,12
19.0,7714.0,12
17.0,7669.0,12
33.0,8179.0,12
55.0,8863.0,12
54.0,8856.0,12
45.0,8656.0,12
37.0,8360.0,12
38.0,8402.0,12
6.0,7146.0,12
7.0,7187.0,12
13.0,7543.0,12
60.0,8971.0,12
43.0,8607.0,12
73.0,9076.0,12
84.0,9154.0,12
81.0,9126.0,12
75.0,9087.0,12
53.0,8845.0,12
67.0,9047.0,12
74.0,9081.0,12
70.0,9063.0,12
35.0,8271.0,12
93.0,9230.0,12
96.0,9244.0,12
94.0,9236.0,12
95.0,9239.0,12
97.0,9248.0,12
53.0,8845.0,12
9.0,7327.0,12
51.0,8814.0,12
10.0,7358.0,12
70.0,9063.0,12
98.0,9251.0,12
78.0,9117.0,12
48.0,8713.0,12
49.0,8743.0,12
11.0,7450.0,12
36.0,8301.0,12
35.0,8271.0,12
89.0,9213.0,12
48.0,8713.0,12
86.0,9166.0,12
110.0,9200.0,23
0.0,6505.0,23
110.0,9200.0,23
0.0,6505.0,23
3.0,6799.0,23
4.0,6955.0,23
1.0,6648.0,23
83.0,9096.0,23
5.0,7028.0,23
6.0,7146.0,23
18.0,7677.0,23
10.0,7350.0,23
15.0,7610.0,23
9.0,7331.0,23
89.0,9121.0,23
39.0,8461.0,23
13.0,7541.0,23
36.0,8295.0,23
106.0,9199.0,23
31.0,8140.0,23
30.0,8077.0,23
35.0,8271.0,23
64.0,8898.0,23
78.0,9041.0,23
62.0,8883.0,23
86.0,9101.0,23
32.0,8151.0,23
50.0,8738.0,23
38.0,8378.0,23
105.0,9198.0,23
45.0,8635.0,23
92.0,9125.0,23
3.0,6799.0,23
58.0,8830.0,23
2.0,6717.0,23
28.0,8034.0,23
23.0,7862.0,23
60.0,8855.0,23
52.0,8772.0,23
54.0,8783.0,23
81.0,9076.0,23
4.0,6955.0,23
5.0,7028.0,23
11.0,7422.0,23
76.0,9025.0,23
8.0,7260.0,23
20.0,7797.0,23
19.0,7727.0,23
87.0,9109.0,23
2.0,6717.0,23
1.0,6648.0,23
49.0,8695.0,23
42.0,8501.0,23
8.0,7260.0,23
7.0,7192.0,23
29.0,8066.0,23
21.0,7836.0,23
100.0,9176.0,23
99.0,9172.0,23
17.0,7635.0,23
11.0,7422.0,23
12.0,7488.0,23
97.0,9158.0,23
102.0,9190.0,23
68.0,8942.0,23
96.0,9157.0,23
69.0,8973.0,23
65.0,8921.0,23
51.0,8754.0,23
44.0,8577.0,23
48.0,8694.0,23
74.0,9012.0,23
47.0,8665.0,23
37.0,8348.0,23
12.0,7488.0,23
79.0,9063.0,23
61.0,8860.0,23
22.0,7840.0,23
33.0,8201.0,23
19.0,7727.0,23
73.0,8990.0,23
93.0,9130.0,23
7.0,7192.0,23
6.0,7146.0,23
43.0,8535.0,23
44.0,8577.0,23
26.0,7967.0,23
27.0,8009.0,23
94.0,9147.0,23
55.0,8800.0,23
14.0,7569.0,23
34.0,8231.0,23
20.0,7797.0,23
66.0,8932.0,23
80.0,9069.0,23
75.0,9019.0,23
71.0,8980.0,23
26.0,7967.0,23
25.0,7932.0,23
25.0,7932.0,23
24.0,7897.0,23
24.0,7897.0,23
72.0,8987.0,23
67.0,8935.0,23
41.0,8491.0,23
43.0,8535.0,23
102.0,9190.0,23
57.0,8822.0,23
70.0,8976.0,23
45.0,8635.0,23
34.0,8231.0,23
39.0,8461.0,23
33.0,8201.0,23
41.0,8491.0,23
47.0,8665.0,23
38.0,8378.0,23
37.0,8348.0,23
14.0,7569.0,23
27.0,8009.0,23
17.0,7635.0,23
107.0,9274.0,14
107.0,9274.0,14
