V1,V2,set
171.0,11323.0,12
0.0,6013.0,12
171.0,11323.0,12
0.0,6013.0,12
158.0,11163.0,12
160.0,11307.0,12
138.0,11118.0,12
105.0,10981.0,12
113.0,10986.0,12
144.0,11123.0,12
49.0,9024.0,12
147.0,11141.0,12
50.0,9189.0,12
124.0,11088.0,12
1.0,6119.0,12
2.0,6333.0,12
3.0,6459.0,12
66.0,9784.0,12
119.0,11079.0,12
7.0,6771.0,12
83.0,10254.0,12
128.0,11096.0,12
166.0,11318.0,12
15.0,7363.0,12
152.0,11145.0,12
54.0,9345.0,12
36.0,8654.0,12
73.0,9974.0,12
75.0,10069.0,12
64.0,9745.0,12
99.0,10857.0,12
62.0,9691.0,12
26.0,7944.0,12
10.0,7028.0,12
22.0,7712.0,12
9.0,6969.0,12
27.0,8037.0,12
134.0,11099.0,12
69.0,9896.0,12
68.0,9861.0,12
32.0,8393.0,12
154.0,11146.0,12
72.0,9942.0,12
91.0,10608.0,12
79.0,10141.0,12
55.0,9453.0,12
31.0,8326.0,12
76.0,10099.0,12
4.0,6513.0,12
93.0,10651.0,12
97.0,10764.0,12
28.0,8089.0,12
23.0,7829.0,12
44.0,8881.0,12
60.0,9584.0,12
16.0,7463.0,12
37.0,8692.0,12
40.0,8706.0,12
58.0,9532.0,12
19.0,7637.0,12
61.0,9624.0,12
25.0,7886.0,12
45.0,8922.0,12
84.0,10384.0,12
17.0,7483.0,12
34.0,8565.0,12
2.0,6333.0,12
41.0,8742.0,12
13.0,7286.0,12
116.0,11040.0,12
6.0,6711.0,12
5.0,6592.0,12
114.0,11009.0,12
43.0,8798.0,12
8.0,6883.0,12
47.0,8954.0,12
104.0,10955.0,12
51.0,9232.0,12
53.0,9294.0,12
14.0,7302.0,12
102.0,10933.0,12
1.0,6119.0,12
127.0,11092.0,12
117.0,11067.0,12
88.0,10486.0,12
90.0,10542.0,12
94.0,10706.0,12
134.0,11099.0,12
33.0,8469.0,12
164.0,11316.0,12
12.0,7212.0,12
11.0,7118.0,12
52.0,9268.0,12
80.0,10175.0,12
30.0,8256.0,12
29.0,8164.0,12
85.0,10422.0,12
11.0,7118.0,12
34.0,8565.0,12
24.0,7838.0,12
89.0,10539.0,12
42.0,8796.0,12
8.0,6883.0,12
95.0,10720.0,12
100.0,10886.0,12
56.0,9482.0,12
82.0,10221.0,12
57.0,9506.0,12
86.0,10443.0,12
5.0,6592.0,12
101.0,10911.0,12
81.0,10202.0,12
18.0,7560.0,12
18.0,7560.0,12
20.0,7668.0,12
33.0,8469.0,12
21.0,7682.0,12
96.0,10760.0,12
29.0,8164.0,12
87.0,10470.0,12
0.0,6000.0,23
163.0,11325.0,23
0.0,6000.0,23
131.0,11101.0,23
110.0,11099.0,23
158.0,11137.0,23
42.0,8669.0,23
18.0,7503.0,23
47.0,8907.0,23
20.0,7639.0,23
59.0,9607.0,23
58.0,9518.0,23
51.0,9200.0,23
1.0,6221.0,23
38.0,8634.0,23
43.0,8789.0,23
152.0,11126.0,23
159.0,11312.0,23
53.0,9257.0,23
147.0,11115.0,23
107.0,11004.0,23
142.0,11114.0,23
5.0,6602.0,23
24.0,7907.0,23
9.0,6970.0,23
82.0,10469.0,23
50.0,9095.0,23
97.0,10832.0,23
48.0,9004.0,23
95.0,10778.0,23
16.0,7378.0,23
68.0,9941.0,23
109.0,11074.0,23
81.0,10407.0,23
17.0,7444.0,23
28.0,8061.0,23
10.0,7047.0,23
85.0,10547.0,23
37.0,8517.0,23
11.0,7089.0,23
77.0,10263.0,23
26.0,7908.0,23
88.0,10576.0,23
69.0,10006.0,23
84.0,10524.0,23
32.0,8287.0,23
90.0,10643.0,23
30.0,8171.0,23
139.0,11111.0,23
135.0,11106.0,23
55.0,9346.0,23
33.0,8325.0,23
34.0,8389.0,23
79.0,10376.0,23
23.0,7776.0,23
21.0,7685.0,23
14.0,7287.0,23
56.0,9441.0,23
45.0,8814.0,23
67.0,9878.0,23
22.0,7737.0,23
1.0,6221.0,23
2.0,6343.0,23
54.0,9339.0,23
65.0,9830.0,23
92.0,10669.0,23
94.0,10727.0,23
103.0,10912.0,23
106.0,10941.0,23
99.0,10859.0,23
74.0,10160.0,23
70.0,10053.0,23
64.0,9762.0,23
101.0,10910.0,23
134.0,11104.0,23
7.0,6787.0,23
8.0,6889.0,23
6.0,6702.0,23
89.0,10595.0,23
62.0,9730.0,23
3.0,6440.0,23
4.0,6537.0,23
3.0,6440.0,23
2.0,6343.0,23
75.0,10199.0,23
76.0,10224.0,23
105.0,10926.0,23
73.0,10126.0,23
93.0,10696.0,23
35.0,8427.0,23
37.0,8517.0,23
61.0,9693.0,23
7.0,6787.0,23
6.0,6702.0,23
100.0,10873.0,23
27.0,7991.0,23
8.0,6889.0,23
66.0,9850.0,23
72.0,10099.0,23
71.0,10078.0,23
78.0,10341.0,23
161.0,11320.0,23
56.0,9441.0,23
12.0,7164.0,23
151.0,11124.0,23
31.0,8216.0,23
35.0,8427.0,23
27.0,7991.0,23
61.0,9693.0,23
13.0,7218.0,23
140.0,11113.0,23
4.0,6537.0,23
63.0,9758.0,23
15.0,7315.0,23
29.0,8110.0,23
45.0,8814.0,23
12.0,7164.0,23
13.0,7218.0,23
29.0,8110.0,23
49.0,9051.0,23
0.0,6000.0,14
0.0,6000.0,14
171.0,11311.0,14
153.0,11304.0,14
152.0,11116.0,14
159.0,11306.0,14
49.0,9049.0,14
42.0,8712.0,14
61.0,9704.0,14
38.0,8544.0,14
1.0,6221.0,14
165.0,11309.0,14
114.0,11021.0,14
108.0,11015.0,14
20.0,7668.0,14
50.0,9193.0,14
103.0,10836.0,14
90.0,10591.0,14
77.0,10341.0,14
105.0,10937.0,14
37.0,8459.0,14
8.0,6912.0,14
136.0,11105.0,14
140.0,11109.0,14
74.0,10143.0,14
47.0,8905.0,14
11.0,7120.0,14
33.0,8275.0,14
9.0,6969.0,14
64.0,9803.0,14
10.0,7065.0,14
14.0,7320.0,14
84.0,10512.0,14
12.0,7219.0,14
48.0,8987.0,14
94.0,10610.0,14
66.0,9894.0,14
88.0,10565.0,14
29.0,8014.0,14
15.0,7416.0,14
34.0,8361.0,14
25.0,7895.0,14
17.0,7545.0,14
63.0,9773.0,14
35.0,8412.0,14
16.0,7458.0,14
146.0,11112.0,14
133.0,11103.0,14
149.0,11115.0,14
162.0,11307.0,14
143.0,11111.0,14
170.0,11310.0,14
31.0,8164.0,14
45.0,8860.0,14
69.0,10007.0,14
86.0,10515.0,14
98.0,10717.0,14
32.0,8207.0,14
72.0,10106.0,14
96.0,10653.0,14
21.0,7775.0,14
54.0,9383.0,14
60.0,9606.0,14
102.0,10796.0,14
51.0,9224.0,14
123.0,11087.0,14
130.0,11101.0,14
55.0,9422.0,14
13.0,7265.0,14
43.0,8793.0,14
128.0,11095.0,14
68.0,9935.0,14
58.0,9528.0,14
100.0,10764.0,14
23.0,7866.0,14
75.0,10234.0,14
1.0,6221.0,14
2.0,6343.0,14
40.0,8623.0,14
53.0,9316.0,14
56.0,9484.0,14
26.0,7968.0,14
115.0,11048.0,14
19.0,7597.0,14
40.0,8623.0,14
59.0,9600.0,14
27.0,7976.0,14
75.0,10234.0,14
78.0,10370.0,14
7.0,6806.0,14
3.0,6431.0,14
4.0,6536.0,14
4.0,6536.0,14
5.0,6637.0,14
79.0,10416.0,14
44.0,8813.0,14
7.0,6806.0,14
6.0,6712.0,14
21.0,7775.0,14
117.0,11070.0,14
70.0,10054.0,14
2.0,6343.0,14
3.0,6431.0,14
81.0,10460.0,14
18.0,7589.0,14
71.0,10064.0,14
106.0,10972.0,14
30.0,8083.0,14
118.0,11074.0,14
99.0,10735.0,14
57.0,9506.0,14
80.0,10437.0,14
6.0,6712.0,14
5.0,6637.0,14
120.0,11086.0,14
107.0,10988.0,14
95.0,10639.0,14
67.0,9912.0,14
52.0,9296.0,14
125.0,11094.0,14
0.0,5996.0,25
165.0,11322.0,25
0.0,5996.0,25
155.0,11314.0,25
109.0,11044.0,25
153.0,11232.0,25
116.0,11052.0,25
59.0,9557.0,25
90.0,10644.0,25
79.0,10253.0,25
97.0,10739.0,25
5.0,6672.0,25
60.0,9676.0,25
54.0,9357.0,25
87.0,10526.0,25
18.0,7502.0,25
125.0,11096.0,25
57.0,9501.0,25
20.0,7599.0,25
46.0,8942.0,25
83.0,10452.0,25
61.0,9742.0,25
80.0,10382.0,25
52.0,9260.0,25
1.0,6132.0,25
2.0,6321.0,25
6.0,6727.0,25
93.0,10703.0,25
89.0,10570.0,25
26.0,7915.0,25
25.0,7813.0,25
17.0,7455.0,25
121.0,11088.0,25
99.0,10825.0,25
67.0,9902.0,25
84.0,10484.0,25
106.0,10957.0,25
11.0,7146.0,25
31.0,8104.0,25
74.0,10174.0,25
49.0,9097.0,25
27.0,7959.0,25
8.0,6827.0,25
45.0,8846.0,25
22.0,7682.0,25
37.0,8454.0,25
71.0,10089.0,25
148.0,11229.0,25
145.0,11204.0,25
144.0,11172.0,25
72.0,10136.0,25
33.0,8172.0,25
34.0,8280.0,25
3.0,6459.0,25
