V1,V2,set,DM_range
20.0,7768.0,0,10to20
20.0,7749.0,1,10to20
10.0,7434.0,2,10to20
20.0,7790.0,3,10to20
20.0,7702.0,4,10to20
20.0,7747.0,5,10to20
20.0,7744.0,6,10to20
19.0,7701.0,7,10to20
20.0,7756.0,8,10to20
20.0,7717.0,9,10to20
20.0,7721.0,10,10to20
20.0,7733.0,11,10to20
20.0,7731.0,12,10to20
20.0,7781.0,13,10to20
20.0,7792.0,14,10to20
10.0,7386.0,15,10to20
14.0,7438.0,16,10to20
20.0,7759.0,17,10to20
20.0,7723.0,18,10to20
20.0,7715.0,19,10to20
20.0,7825.0,20,10to20
19.0,7732.0,21,10to20
20.0,7748.0,22,10to20
20.0,7773.0,23,10to20
20.0,7769.0,24,10to20
20.0,7751.0,25,10to20
20.0,7717.0,26,10to20
20.0,7733.0,27,10to20
20.0,7769.0,28,10to20
19.0,7731.0,29,10to20
30.0,8048.0,0,20to30
10.0,7325.0,1,20to30
30.0,8109.0,2,20to30
19.0,7729.0,3,20to30
30.0,8034.0,4,20to30
30.0,8039.0,5,20to30
29.0,8014.0,6,20to30
27.0,7989.0,7,20to30
30.0,8082.0,8,20to30
30.0,8060.0,9,20to30
29.0,8054.0,10,20to30
30.0,8001.0,11,20to30
30.0,8089.0,12,20to30
30.0,8070.0,13,20to30
30.0,8119.0,14,20to30
30.0,8070.0,15,20to30
30.0,8076.0,16,20to30
30.0,8066.0,17,20to30
30.0,8078.0,18,20to30
12.0,7516.0,19,20to30
30.0,8095.0,20,20to30
30.0,8058.0,21,20to30
29.0,8024.0,22,20to30
30.0,8008.0,23,20to30
30.0,8092.0,24,20to30
30.0,8064.0,25,20to30
12.0,7494.0,26,20to30
30.0,8015.0,27,20to30
30.0,8060.0,28,20to30
29.0,8051.0,29,20to30
40.0,8402.0,0,30to40
40.0,8448.0,1,30to40
40.0,8424.0,2,30to40
29.0,8004.0,3,30to40
40.0,8475.0,4,30to40
34.0,8182.0,5,30to40
29.0,8077.0,6,30to40
40.0,8482.0,7,30to40
40.0,8435.0,8,30to40
34.0,8222.0,9,30to40
39.0,8439.0,10,30to40
40.0,8388.0,11,30to40
39.0,8367.0,12,30to40
39.0,8422.0,13,30to40
40.0,8418.0,14,30to40
40.0,8344.0,15,30to40
40.0,8478.0,16,30to40
40.0,8396.0,17,30to40
39.0,8344.0,18,30to40
40.0,8380.0,19,30to40
40.0,8438.0,20,30to40
40.0,8395.0,21,30to40
39.0,8430.0,22,30to40
40.0,8397.0,23,30to40
39.0,8457.0,24,30to40
29.0,8048.0,25,30to40
40.0,8444.0,26,30to40
40.0,8424.0,27,30to40
40.0,8379.0,28,30to40
40.0,8430.0,29,30to40
20.0,7768.0,0,10to20
20.0,7749.0,1,10to20
10.0,7434.0,2,10to20
20.0,7790.0,3,10to20
20.0,7702.0,4,10to20
20.0,7747.0,5,10to20
20.0,7744.0,6,10to20
19.0,7701.0,7,10to20
20.0,7756.0,8,10to20
20.0,7717.0,9,10to20
20.0,7721.0,10,10to20
20.0,7733.0,11,10to20
20.0,7731.0,12,10to20
20.0,7781.0,13,10to20
20.0,7792.0,14,10to20
10.0,7386.0,15,10to20
14.0,7438.0,16,10to20
20.0,7759.0,17,10to20
20.0,7723.0,18,10to20
20.0,7715.0,19,10to20
20.0,7825.0,20,10to20
19.0,7732.0,21,10to20
20.0,7748.0,22,10to20
20.0,7773.0,23,10to20
20.0,7769.0,24,10to20
20.0,7751.0,25,10to20
20.0,7717.0,26,10to20
20.0,7733.0,27,10to20
20.0,7769.0,28,10to20
19.0,7731.0,29,10to20
30.0,8048.0,0,20to30
10.0,7325.0,1,20to30
30.0,8109.0,2,20to30
19.0,7729.0,3,20to30
30.0,8034.0,4,20to30
30.0,8039.0,5,20to30
29.0,8014.0,6,20to30
27.0,7989.0,7,20to30
30.0,8082.0,8,20to30
30.0,8060.0,9,20to30
29.0,8054.0,10,20to30
30.0,8001.0,11,20to30
30.0,8089.0,12,20to30
30.0,8070.0,13,20to30
30.0,8119.0,14,20to30
30.0,8070.0,15,20to30
30.0,8076.0,16,20to30
30.0,8066.0,17,20to30
30.0,8078.0,18,20to30
12.0,7516.0,19,20to30
30.0,8095.0,20,20to30
30.0,8058.0,21,20to30
29.0,8024.0,22,20to30
30.0,8008.0,23,20to30
30.0,8092.0,24,20to30
30.0,8064.0,25,20to30
12.0,7494.0,26,20to30
30.0,8015.0,27,20to30
30.0,8060.0,28,20to30
29.0,8051.0,29,20to30
40.0,8402.0,0,30to40
40.0,8448.0,1,30to40
40.0,8424.0,2,30to40
29.0,8004.0,3,30to40
40.0,8475.0,4,30to40
34.0,8182.0,5,30to40
29.0,8077.0,6,30to40
40.0,8482.0,7,30to40
40.0,8435.0,8,30to40
34.0,8222.0,9,30to40
39.0,8439.0,10,30to40
40.0,8388.0,11,30to40
39.0,8367.0,12,30to40
39.0,8422.0,13,30to40
40.0,8418.0,14,30to40
40.0,8344.0,15,30to40
40.0,8478.0,16,30to40
40.0,8396.0,17,30to40
39.0,8344.0,18,30to40
40.0,8380.0,19,30to40
40.0,8438.0,20,30to40
40.0,8395.0,21,30to40
39.0,8430.0,22,30to40
40.0,8397.0,23,30to40
39.0,8457.0,24,30to40
29.0,8048.0,25,30to40
40.0,8444.0,26,30to40
40.0,8424.0,27,30to40
40.0,8379.0,28,30to40
40.0,8430.0,29,30to40
20.0,7768.0,0,10to20
20.0,7749.0,1,10to20
10.0,7434.0,2,10to20
20.0,7790.0,3,10to20
20.0,7702.0,4,10to20
20.0,7747.0,5,10to20
20.0,7744.0,6,10to20
19.0,7701.0,7,10to20
20.0,7756.0,8,10to20
20.0,7717.0,9,10to20
20.0,7721.0,10,10to20
20.0,7733.0,11,10to20
20.0,7731.0,12,10to20
20.0,7781.0,13,10to20
20.0,7792.0,14,10to20
10.0,7386.0,15,10to20
14.0,7438.0,16,10to20
20.0,7759.0,17,10to20
20.0,7723.0,18,10to20
20.0,7715.0,19,10to20
20.0,7825.0,20,10to20
19.0,7732.0,21,10to20
20.0,7748.0,22,10to20
20.0,7773.0,23,10to20
20.0,7769.0,24,10to20
20.0,7751.0,25,10to20
20.0,7717.0,26,10to20
20.0,7733.0,27,10to20
20.0,7769.0,28,10to20
19.0,7731.0,29,10to20
30.0,8048.0,0,20to30
10.0,7325.0,1,20to30
30.0,8109.0,2,20to30
19.0,7729.0,3,20to30
30.0,8034.0,4,20to30
30.0,8039.0,5,20to30
29.0,8014.0,6,20to30
27.0,7989.0,7,20to30
30.0,8082.0,8,20to30
30.0,8060.0,9,20to30
29.0,8054.0,10,20to30
30.0,8001.0,11,20to30
30.0,8089.0,12,20to30
30.0,8070.0,13,20to30
30.0,8119.0,14,20to30
30.0,8070.0,15,20to30
30.0,8076.0,16,20to30
30.0,8066.0,17,20to30
30.0,8078.0,18,20to30
12.0,7516.0,19,20to30
30.0,8095.0,20,20to30
30.0,8058.0,21,20to30
29.0,8024.0,22,20to30
30.0,8008.0,23,20to30
30.0,8092.0,24,20to30
30.0,8064.0,25,20to30
12.0,7494.0,26,20to30
30.0,8015.0,27,20to30
30.0,8060.0,28,20to30
29.0,8051.0,29,20to30
40.0,8402.0,0,30to40
40.0,8448.0,1,30to40
40.0,8424.0,2,30to40
29.0,8004.0,3,30to40
40.0,8475.0,4,30to40
34.0,8182.0,5,30to40
29.0,8077.0,6,30to40
40.0,8482.0,7,30to40
40.0,8435.0,8,30to40
34.0,8222.0,9,30to40
39.0,8439.0,10,30to40
40.0,8388.0,11,30to40
39.0,8367.0,12,30to40
39.0,8422.0,13,30to40
40.0,8418.0,14,30to40
40.0,8344.0,15,30to40
40.0,8478.0,16,30to40
40.0,8396.0,17,30to40
39.0,8344.0,18,30to40
40.0,8380.0,19,30to40
40.0,8438.0,20,30to40
40.0,8395.0,21,30to40
39.0,8430.0,22,30to40
40.0,8397.0,23,30to40
39.0,8457.0,24,30to40
29.0,8048.0,25,30to40
40.0,8444.0,26,30to40
40.0,8424.0,27,30to40
40.0,8379.0,28,30to40
40.0,8430.0,29,30to40
20.0,7768.0,0,10to20
20.0,7749.0,1,10to20
10.0,7434.0,2,10to20
20.0,7790.0,3,10to20
20.0,7702.0,4,10to20
20.0,7747.0,5,10to20
20.0,7744.0,6,10to20
19.0,7701.0,7,10to20
20.0,7756.0,8,10to20
20.0,7717.0,9,10to20
20.0,7721.0,10,10to20
20.0,7733.0,11,10to20
20.0,7731.0,12,10to20
20.0,7781.0,13,10to20
20.0,7792.0,14,10to20
10.0,7386.0,15,10to20
14.0,7438.0,16,10to20
20.0,7759.0,17,10to20
20.0,7723.0,18,10to20
20.0,7715.0,19,10to20
20.0,7825.0,20,10to20
19.0,7732.0,21,10to20
20.0,7748.0,22,10to20
20.0,7773.0,23,10to20
20.0,7769.0,24,10to20
20.0,7751.0,25,10to20
20.0,7717.0,26,10to20
20.0,7733.0,27,10to20
20.0,7769.0,28,10to20
19.0,7731.0,29,10to20
30.0,8048.0,0,20to30
10.0,7325.0,1,20to30
30.0,8109.0,2,20to30
19.0,7729.0,3,20to30
30.0,8034.0,4,20to30
30.0,8039.0,5,20to30
29.0,8014.0,6,20to30
27.0,7989.0,7,20to30
30.0,8082.0,8,20to30
30.0,8060.0,9,20to30
29.0,8054.0,10,20to30
30.0,8001.0,11,20to30
30.0,8089.0,12,20to30
30.0,8070.0,13,20to30
30.0,8119.0,14,20to30
30.0,8070.0,15,20to30
30.0,8076.0,16,20to30
30.0,8066.0,17,20to30
30.0,8078.0,18,20to30
12.0,7516.0,19,20to30
30.0,8095.0,20,20to30
30.0,8058.0,21,20to30
29.0,8024.0,22,20to30
30.0,8008.0,23,20to30
30.0,8092.0,24,20to30
30.0,8064.0,25,20to30
12.0,7494.0,26,20to30
30.0,8015.0,27,20to30
30.0,8060.0,28,20to30
29.0,8051.0,29,20to30
40.0,8402.0,0,30to40
