V1,V2,set
0.0,5343.0,12
127.0,8034.0,12
0.0,5343.0,12
17.0,6430.0,12
23.0,6719.0,12
25.0,6775.0,12
28.0,6844.0,12
18.0,6526.0,12
20.0,6546.0,12
111.0,8022.0,12
3.0,5606.0,12
2.0,5494.0,12
120.0,8028.0,12
21.0,6636.0,12
124.0,8032.0,12
55.0,7616.0,12
7.0,5850.0,12
8.0,5957.0,12
59.0,7699.0,12
57.0,7654.0,12
87.0,7952.0,12
90.0,7965.0,12
16.0,6338.0,12
1.0,5433.0,12
60.0,7760.0,12
34.0,7074.0,12
113.0,8024.0,12
116.0,8025.0,12
21.0,6636.0,12
78.0,7871.0,12
54.0,7588.0,12
46.0,7357.0,12
38.0,7159.0,12
32.0,6982.0,12
82.0,7891.0,12
75.0,7864.0,12
107.0,8017.0,12
71.0,7836.0,12
105.0,8006.0,12
45.0,7331.0,12
11.0,6143.0,12
10.0,6070.0,12
5.0,5732.0,12
6.0,5804.0,12
96.0,7974.0,12
42.0,7280.0,12
51.0,7491.0,12
50.0,7473.0,12
85.0,7947.0,12
39.0,7177.0,12
94.0,7969.0,12
27.0,6798.0,12
15.0,6302.0,12
37.0,7118.0,12
118.0,8026.0,12
73.0,7839.0,12
58.0,7677.0,12
33.0,7008.0,12
30.0,6942.0,12
9.0,6022.0,12
8.0,5957.0,12
5.0,5732.0,12
4.0,5667.0,12
65.0,7812.0,12
36.0,7113.0,12
29.0,6908.0,12
104.0,7986.0,12
14.0,6292.0,12
13.0,6230.0,12
79.0,7881.0,12
31.0,6952.0,12
3.0,5606.0,12
1.0,5433.0,12
2.0,5494.0,12
4.0,5667.0,12
35.0,7075.0,12
64.0,7777.0,12
44.0,7305.0,12
47.0,7390.0,12
61.0,7766.0,12
69.0,7829.0,12
66.0,7820.0,12
63.0,7774.0,12
81.0,7890.0,12
68.0,7823.0,12
99.0,7979.0,12
12.0,6181.0,12
13.0,6230.0,12
101.0,7984.0,12
49.0,7441.0,12
48.0,7393.0,12
10.0,6070.0,12
9.0,6022.0,12
98.0,7977.0,12
74.0,7860.0,12
43.0,7293.0,12
6.0,5804.0,12
7.0,5850.0,12
102.0,7985.0,12
126.0,8033.0,12
84.0,7924.0,12
19.0,6536.0,12
12.0,6181.0,12
11.0,6143.0,12
41.0,7243.0,12
16.0,6338.0,12
41.0,7243.0,12
40.0,7208.0,12
29.0,6908.0,12
53.0,7557.0,12
52.0,7523.0,12
84.0,7924.0,12
52.0,7523.0,12
49.0,7441.0,12
53.0,7557.0,12
40.0,7208.0,12
107.0,8017.0,12
33.0,7008.0,12
92.0,7968.0,12
27.0,6798.0,12
122.0,8040.0,23
122.0,8040.0,23
0.0,5343.0,23
0.0,5343.0,23
13.0,6254.0,23
29.0,6923.0,23
21.0,6630.0,23
28.0,6819.0,23
52.0,7605.0,23
39.0,7187.0,23
12.0,6127.0,23
17.0,6452.0,23
54.0,7655.0,23
31.0,6941.0,23
24.0,6705.0,23
58.0,7741.0,23
20.0,6532.0,23
108.0,8016.0,23
2.0,5530.0,23
1.0,5433.0,23
97.0,7978.0,23
25.0,6760.0,23
71.0,7856.0,23
106.0,7992.0,23
74.0,7858.0,23
83.0,7912.0,23
8.0,5923.0,23
9.0,6015.0,23
113.0,8026.0,23
117.0,8028.0,23
1.0,5433.0,23
6.0,5815.0,23
5.0,5725.0,23
59.0,7803.0,23
67.0,7848.0,23
36.0,7113.0,23
4.0,5642.0,23
5.0,5725.0,23
34.0,7056.0,23
35.0,7089.0,23
120.0,8039.0,23
90.0,7953.0,23
3.0,5605.0,23
2.0,5530.0,23
69.0,7853.0,23
41.0,7235.0,23
100.0,7980.0,23
62.0,7809.0,23
19.0,6483.0,23
64.0,7810.0,23
104.0,7989.0,23
85.0,7935.0,23
40.0,7234.0,23
22.0,6671.0,23
50.0,7558.0,23
51.0,7564.0,23
76.0,7860.0,23
48.0,7488.0,23
26.0,6779.0,23
56.0,7720.0,23
8.0,5923.0,23
7.0,5859.0,23
27.0,6805.0,23
16.0,6406.0,23
15.0,6344.0,23
95.0,7972.0,23
37.0,7150.0,23
77.0,7882.0,23
79.0,7906.0,23
66.0,7813.0,23
23.0,6678.0,23
86.0,7938.0,23
118.0,8029.0,23
14.0,6309.0,23
42.0,7286.0,23
92.0,7955.0,23
60.0,7805.0,23
43.0,7325.0,23
44.0,7375.0,23
102.0,7988.0,23
20.0,6532.0,23
112.0,8025.0,23
78.0,7896.0,23
16.0,6406.0,23
32.0,6986.0,23
7.0,5859.0,23
10.0,6059.0,23
6.0,5815.0,23
32.0,6986.0,23
33.0,7030.0,23
9.0,6015.0,23
57.0,7724.0,23
49.0,7517.0,23
55.0,7680.0,23
42.0,7286.0,23
43.0,7325.0,23
11.0,6097.0,23
10.0,6059.0,23
4.0,5642.0,23
37.0,7150.0,23
3.0,5605.0,23
47.0,7471.0,23
46.0,7435.0,23
94.0,7961.0,23
44.0,7375.0,23
45.0,7410.0,23
15.0,6344.0,23
14.0,6309.0,23
19.0,6483.0,23
101.0,7984.0,23
88.0,7946.0,23
12.0,6127.0,23
11.0,6097.0,23
88.0,7946.0,23
110.0,8023.0,23
49.0,7517.0,23
93.0,7959.0,23
33.0,7030.0,23
81.0,7909.0,23
81.0,7909.0,23
0.0,5337.0,14
131.0,8123.0,14
0.0,5337.0,14
119.0,8122.0,14
118.0,8121.0,14
107.0,8120.0,14
31.0,7009.0,14
62.0,7835.0,14
20.0,6643.0,14
59.0,7828.0,14
30.0,6937.0,14
18.0,6487.0,14
89.0,8011.0,14
12.0,6154.0,14
13.0,6258.0,14
91.0,8014.0,14
92.0,8067.0,14
2.0,5530.0,14
1.0,5433.0,14
44.0,7362.0,14
26.0,6806.0,14
1.0,5433.0,14
33.0,7025.0,14
56.0,7723.0,14
9.0,6018.0,14
8.0,5925.0,14
78.0,7976.0,14
71.0,7948.0,14
5.0,5724.0,14
6.0,5812.0,14
75.0,7955.0,14
43.0,7337.0,14
52.0,7593.0,14
5.0,5724.0,14
4.0,5642.0,14
19.0,6567.0,14
29.0,6914.0,14
38.0,7147.0,14
54.0,7696.0,14
22.0,6692.0,14
36.0,7092.0,14
57.0,7747.0,14
37.0,7126.0,14
19.0,6567.0,14
79.0,7982.0,14
3.0,5569.0,14
4.0,5642.0,14
48.0,7502.0,14
24.0,6757.0,14
14.0,6330.0,14
13.0,6258.0,14
82.0,7986.0,14
21.0,6670.0,14
25.0,6778.0,14
8.0,5925.0,14
7.0,5856.0,14
68.0,7923.0,14
50.0,7553.0,14
69.0,7924.0,14
97.0,8093.0,14
17.0,6472.0,14
95.0,8070.0,14
34.0,7060.0,14
14.0,6330.0,14
15.0,6395.0,14
103.0,8098.0,14
107.0,8120.0,14
51.0,7573.0,14
53.0,7639.0,14
11.0,6098.0,14
12.0,6154.0,14
63.0,7890.0,14
35.0,7070.0,14
45.0,7412.0,14
58.0,7779.0,14
27.0,6853.0,14
73.0,7950.0,14
16.0,6441.0,14
53.0,7639.0,14
15.0,6395.0,14
84.0,7991.0,14
98.0,8095.0,14
94.0,8069.0,14
86.0,7993.0,14
100.0,8096.0,14
101.0,8097.0,14
6.0,5812.0,14
7.0,5856.0,14
103.0,8098.0,14
42.0,7296.0,14
10.0,6058.0,14
10.0,6058.0,14
9.0,6018.0,14
11.0,6098.0,14
86.0,7993.0,14
2.0,5530.0,14
3.0,5569.0,14
41.0,7258.0,14
41.0,7258.0,14
40.0,7220.0,14
42.0,7296.0,14
39.0,7184.0,14
40.0,7220.0,14
39.0,7184.0,14
28.0,6879.0,14
23.0,6727.0,14
46.0,7443.0,14
58.0,7779.0,14
47.0,7475.0,14
46.0,7443.0,14
16.0,6441.0,14
45.0,7412.0,14
23.0,6727.0,14
47.0,7475.0,14
54.0,7696.0,14
49.0,7526.0,14
83.0,7990.0,14
74.0,7952.0,14
64.0,7894.0,14
27.0,6853.0,14
124.0,8073.0,25
0.0,5343.0,25
0.0,5343.0,25
104.0,8066.0,25
115.0,8069.0,25
8.0,5961.0,25
11.0,6144.0,25
12.0,6227.0,25
89.0,7994.0,25
19.0,6573.0,25
28.0,6931.0,25
64.0,7840.0,25
79.0,7917.0,25
30.0,6953.0,25
118.0,8072.0,25
43.0,7340.0,25
18.0,6517.0,25
7.0,5862.0,25
1.0,5440.0,25
51.0,7559.0,25
54.0,7651.0,25
84.0,7922.0,25
62.0,7795.0,25
2.0,5530.0,25
1.0,5440.0,25
5.0,5741.0,25
4.0,5653.0,25
91.0,8009.0,25
39.0,7209.0,25
49.0,7547.0,25
17.0,6496.0,25
6.0,5822.0,25
5.0,5741.0,25
57.0,7700.0,25
41.0,7260.0,25
25.0,6771.0,25
10.0,6068.0,25
46.0,7435.0,25
23.0,6743.0,25
53.0,7604.0,25
2.0,5530.0,25
3.0,5605.0,25
95.0,8016.0,25
45.0,7411.0,25
93.0,8011.0,25
40.0,7242.0,25
99.0,8024.0,25
69.0,7900.0,25
59.0,7748.0,25
76.0,7913.0,25
58.0,7743.0,25
74.0,7912.0,25
102.0,8026.0,25
36.0,7111.0,25
14.0,6341.0,25
15.0,6409.0,25
52.0,7598.0,25
60.0,7792.0,25
13.0,6292.0,25
87.0,7929.0,25
9.0,6026.0,25
103.0,8027.0,25
33.0,7060.0,25
34.0,7093.0,25
27.0,6872.0,25
47.0,7464.0,25
48.0,7522.0,25
55.0,7677.0,25
22.0,6714.0,25
21.0,6658.0,25
67.0,7880.0,25
65.0,7871.0,25
20.0,6626.0,25
86.0,7926.0,25
26.0,6822.0,25
24.0,6767.0,25
32.0,7053.0,25
26.0,6822.0,25
27.0,6872.0,25
31.0,7003.0,25
31.0,7003.0,25
97.0,8019.0,25
14.0,6341.0,25
16.0,6458.0,25
13.0,6292.0,25
15.0,6409.0,25
72.0,7910.0,25
4.0,5653.0,25
3.0,5605.0,25
115.0,8069.0,25
118.0,8072.0,25
56.0,7685.0,25
44.0,7383.0,25
68.0,7881.0,25
10.0,6068.0,25
42.0,7298.0,25
9.0,6026.0,25
35.0,7097.0,25
7.0,5862.0,25
6.0,5822.0,25
38.0,7182.0,25
37.0,7144.0,25
42.0,7298.0,25
16.0,6458.0,25
37.0,7144.0,25
21.0,6658.0,25
20.0,6626.0,25
47.0,7464.0,25
22.0,6714.0,25
44.0,7383.0,25
98.0,8021.0,25
84.0,7922.0,25
38.0,7182.0,25
61.0,7793.0,25
87.0,7929.0,25
48.0,7522.0,25
71.0,7908.0,25
78.0,7916.0,25
65.0,7871.0,25
71.0,7908.0,25
113.0,8035.0,16
0.0,5343.0,16
0.0,5343.0,16
95.0,8011.0,16
101.0,8024.0,16
105.0,8033.0,16
86.0,7965.0,16
91.0,7978.0,16
57.0,7779.0,16
24.0,6819.0,16
31.0,6979.0,16
18.0,6545.0,16
82.0,7942.0,16
54.0,7655.0,16
26.0,6867.0,16
92.0,7985.0,16
12.0,6214.0,16
11.0,6111.0,16
56.0,7700.0,16
7.0,5866.0,16
8.0,5966.0,16
73.0,7875.0,16
2.0,5530.0,16
1.0,5433.0,16
70.0,7872.0,16
85.0,7946.0,16
63.0,7806.0,16
23.0,6728.0,16
1.0,5433.0,16
32.0,7026.0,16
19.0,6553.0,16
46.0,7485.0,16
5.0,5741.0,16
6.0,5823.0,16
104.0,8032.0,16
17.0,6467.0,16
53.0,7642.0,16
29.0,6933.0,16
28.0,6880.0,16
2.0,5530.0,16
3.0,5605.0,16
