year,yield,irr
1988,6014,30
1989,10625,30
1990,9429,2
1991,6818,30
1992,9259,2
1993,8733,29
1994,10988,30
1995,9931,30
1996,7001,30
1997,8421,23
1998,7288,30
1999,6300,30
2000,9745,30
2001,11879,30
2002,4706,30
2003,10230,30
2004,9087,30
2005,5036,30
2006,11117,30
2007,11097,30
2008,7379,30
2009,8773,30
2010,9374,30
2011,8256,30
2012,5081,30
2013,8307,30
2014,10306,30
2015,8126,30
2016,7158,30
2017,7445,30
