year,yield,irr
1988,6475,40
1989,10823,40
1990,9429,2
1991,7506,40
1992,9259,2
1993,8733,29
1994,11196,40
1995,10510,40
1996,7310,40
1997,8421,23
1998,7589,40
1999,7006.5,40
2000,9997,40
2001,12182,40
2002,5246,40
2003,10790,40
2004,9513,40
2005,5626,40
2006,11230,40
2007,11285,40
2008,8232,40
2009,9238,40
2010,9821,40
2011,8732,40
2012,5551,40
2013,8760,40
2014,10848,40
2015,8509,40
2016,7690,40
2017,8092,40
 
