*DSSAT Cropping System Model Ver. 4.7.5.014      -HEAD    JUN 25, 2020; 09:51:35

 Unit  Filename
  501  OPCLR
   21  FILEIO
  502  RUNLST
  115  OUTINFO
   11  FILEW
   93  OUTO
  119  WARNING.OUT
   10  FILEC
   39  OUTG
   40  OUTPN
   22  DTACDE
  503  OUTS
   89  SEVAL
   25  DSPRO
  504  FILECO2
  505  FILEF
   13  FILESS
  104  SoilNoBal.OUT
  101  SoilNBalSum.OUT
   64  N2O.OUT   
  103  SoilNiBal.OUT
  108  SWBAL
    8  FILEA
